Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Fare Revenues per Unlinked Passenger Trip,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,Cost per Hour,Cost per Hour Questionable,Passengers per Vehicle Revenue Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable
"Laredo Transit Management, Inc., dba: El Metro",Laredo,TX,60009,"City, County or Local Government Unit or Department of Transportation",Full Reporter,47854,"Laredo, TX","251,462",44,MB,DO,37,1.42,,0.14,,104.74,,10,,9.99,,2.95,,"2,207,171",,"15,497,988",,"1,551,633",,"147,970",,"5,260,036",,"1,681,434",
Kanawha Valley Regional Transportation Authority,Charleston,WV,30001,Independent Public Agency or Authority of Transit Service,Full Reporter,15481,"Charleston, WV","140,958",44,MB,DO,34,1.10,,0.10,,92.09,,8,,11.22,,2.27,,"1,079,859",,"11,044,895",,"984,162",,"119,934",,"4,859,998",,"2,087,459",
"Board of County Commissioners of St. Lucie County, dba: Area Regional Transit - ART",Fort Pierce,FL,41199,"City, County or Local Government Unit or Department of Transportation",Full Reporter,71479,"Port St. Lucie, FL","437,745",44,DR,PT,31,0.00,,0.00,,90.31,,2,,39.11,,5.51,,0,,"4,977,130",,"127,258",,"55,114",,"903,875",,"763,597",
"City of Yakima, dba: Yakima Transit",Yakima,WA,00006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,97507,"Yakima, WA","133,145",44,DR,PT,24,1.76,,0.03,,74.28,,1,,51.62,,14.60,,"70,560",,"2,074,856",,"40,196",,"27,932",,"142,112",,"258,268",
Piedmont Authority for Regional Transportation,Greensboro,NC,40173,Independent Public Agency or Authority of Transit Service,Full Reporter,35164,"Greensboro, NC","338,928",44,CB,PT,23,1.09,,0.04,,126.49,,4,,28.16,,2.49,,"269,666",,"6,952,281",,"246,925",,"54,961",,"2,790,809",,"1,396,677",
Piedmont Authority for Regional Transportation,Greensboro,NC,40173,Independent Public Agency or Authority of Transit Service,Full Reporter,35164,"Greensboro, NC","338,928",44,VP,DO,21,3.17,,0.41,,41.27,,5,,7.68,,0.12,,"179,509",,"435,342",,"56,681",,"10,548",,"3,578,598",,"457,763",
Grays Harbor Transit,Hoquiam,WA,00314,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,44,MB,DO,20,0.04,,0.00,,181.54,,12,,14.63,,0.00,,"25,668",,"8,784,493",,"600,307",,"48,390",,0,,"1,227,840",
"City of Yakima, dba: Yakima Transit",Yakima,WA,00006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,97507,"Yakima, WA","133,145",44,CB,PT,2,10.51,,0.37,,117.08,,4,,28.32,,0.86,,"193,082",,"520,302",,"18,375",,"4,444",,"606,482",,"146,393",
"City of Yakima, dba: Yakima Transit",Yakima,WA,00006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,97507,"Yakima, WA","133,145",44,MB,DO,18,0.68,W,0.04,,124.63,,8,W,16.55,W,3.94,W,"307,625",,"7,530,794",,"454,913",W,"60,425",,"1,910,826",W,"710,402",
Grays Harbor Transit,Hoquiam,WA,00314,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,44,VP,DO,13,4.21,,0.79,,7.74,,1,,5.32,,0.00,,"81,661",,"103,358",,"19,418",,"13,346",,0,,"183,160",
"Board of County Commissioners of St. Lucie County, dba: Area Regional Transit - ART",Fort Pierce,FL,41199,"City, County or Local Government Unit or Department of Transportation",Full Reporter,71479,"Port St. Lucie, FL","437,745",44,MB,PT,13,0.00,,0.00,,97.60,,13,,7.45,,1.67,,0,,"3,303,732",,"443,629",,"33,848",,"1,977,712",,"522,913",
Grays Harbor Transit,Hoquiam,WA,00314,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,44,DR,DO,11,0.12,,0.00,,117.53,,2,,53.18,,0.00,,"6,417",,"2,774,050",,"52,161",,"23,603",,0,,"314,880",
Kanawha Valley Regional Transportation Authority,Charleston,WV,30001,Independent Public Agency or Authority of Transit Service,Full Reporter,15481,"Charleston, WV","140,958",44,DR,DO,10,1.87,,0.04,,88.75,,2,,51.92,,6.01,,"60,601",,"1,679,968",,"32,358",,"18,929",,"279,718",,"321,269",
"Bolivar County Council On Aging, Inc.",Cleveland,MS,41192,Private-Non-Profit Corporation,Rural Reporter,,,,43,DR,DO,43,4.64,,0.17,,43.06,,2,,27.03,,0.00,,"406,195",,"2,366,790",,"87,559",,"54,970",,0,,"1,433,277",
"Leslie, Knott, Letcher & Perry Community Action",Hazard,KY,41178,Private-Non-Profit Corporation,Rural Reporter,,,,43,DR,DO,43,0.58,,0.00,,96.78,,1,,140.74,,0.00,,"30,383",,"7,422,813",,"52,743",,"76,701",,0,,"1,274,849",
Northeast Mississippi Community Services,Booneville,MS,41039,Private-Non-Profit Corporation,Rural Reporter,,,,43,DR,DO,43,0.62,,0.02,,36.22,,1,,28.18,,0.00,,"51,371",,"2,329,019",,"82,644",,"64,303",,0,,"872,239",
"Harlan County Community Action Agency, Inc.",Harlan,KY,41098,Private-Non-Profit Corporation,Rural Reporter,,,,43,DR,DO,43,1.76,,0.02,,42.38,,1,,70.54,,0.00,,"41,708",,"1,669,608",,"23,670",,"39,394",,0,,"603,664",
"South Plains Community Action Association, Inc.",Levelland,TX,60159,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,43,DR,DO,41,5.30,,0.12,,88.44,,2,,43.90,,0.00,,"486,476",,"4,026,246",,"91,705",,"45,527",,0,,"1,064,823",
Central Florida Regional Planning Council,Bartow,FL,44938,"MPO, COG or Other Planning Agency",Rural Reporter,,,,43,DR,DO,41,0.00,,0.00,,56.47,,1,,44.78,,0.00,,0,,"2,898,412",,"64,720",,"51,326",,0,,"855,430",
Santee Wateree Regional Transportation Authority,Sumter,SC,40100,Independent Public Agency or Authority of Transit Service,Full Reporter,85708,"Sumter, SC","68,825",43,DR,DO,32,3.04,,0.05,,164.93,,3,,59.08,,7.82,,"51,881",,"1,009,014",,"17,080",,"6,118",,"129,024",,"98,673",
Housatonic Area Regional Transit,Danbury,CT,10051,Independent Public Agency or Authority of Transit Service,Full Reporter,22096,"Danbury, CT--NY","171,680",43,MB,DO,29,0.78,,0.05,,101.80,,7,,15.06,,2.21,,"319,341",,"6,186,476",,"410,785",,"60,771",,"2,793,338",,"980,244",
"Cape Fear Public Transportation Authority, dba: Wave Transit",Wilmington,NC,40006,Independent Public Agency or Authority of Transit Service,Full Reporter,95833,"Wilmington, NC","255,329",43,MB,PT,23,2.00,,0.19,,89.16,,9,,10.38,,3.69,,"1,326,735",,"6,885,926",,"663,127",,"77,230",,"1,868,559",,"1,164,173",
Portage Area Regional Transportation Authority,Kent,OH,50021,Independent Public Agency or Authority of Transit Service,Full Reporter,766,"Akron, OH","541,879",43,DR,DO,23,7.31,,0.10,,143.37,,2,,72.82,,9.92,,"312,008",,"3,108,899",,"42,693",,"21,685",,"313,448",,"404,823",
Portage Area Regional Transportation Authority,Kent,OH,50021,Independent Public Agency or Authority of Transit Service,Full Reporter,766,"Akron, OH","541,879",43,MB,DO,20,3.27,,0.31,,124.97,,12,,10.47,,4.01,,"1,933,660",,"6,197,595",,"591,881",,"49,591",,"1,544,809",,"672,463",
Central Florida Regional Planning Council,Bartow,FL,44938,"MPO, COG or Other Planning Agency",Rural Reporter,,,,43,MB,DO,2,0.00,,0.00,,71.81,,4,,20.50,,0.00,,0,,"264,565",,"12,907",,"3,684",,0,,"46,704",
"South Plains Community Action Association, Inc.",Levelland,TX,60159,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,43,CB,DO,2,0.00,,0.00,,51.54,,7,,7.17,,0.00,,0,,"120,750",,"16,848",,"2,343",,0,,"98,225",
"Cape Fear Public Transportation Authority, dba: Wave Transit",Wilmington,NC,40006,Independent Public Agency or Authority of Transit Service,Full Reporter,95833,"Wilmington, NC","255,329",43,DR,DO,19,9.25,,0.26,,67.04,,2,,35.45,,7.31,,"441,893",,"1,693,527",,"47,774",,"25,260",,"231,697",,"335,435",
Housatonic Area Regional Transit,Danbury,CT,10051,Independent Public Agency or Authority of Transit Service,Full Reporter,22096,"Danbury, CT--NY","171,680",43,DR,DO,14,0.99,,0.02,,72.97,,2,,45.17,,6.74,,"49,668",,"2,268,302",,"50,215",,"31,084",,"336,441",,"413,025",
Santee Wateree Regional Transportation Authority,Sumter,SC,40100,Independent Public Agency or Authority of Transit Service,Full Reporter,85708,"Sumter, SC","68,825",43,MB,DO,10,0.43,,0.02,,110.12,,4,,28.35,,4.79,,"27,882",,"1,846,473",,"65,130",,"16,768",,"385,570",,"261,535",
Santee Wateree Regional Transportation Authority,Sumter,SC,40100,Independent Public Agency or Authority of Transit Service,Full Reporter,85708,"Sumter, SC","68,825",43,CB,DO,1,6.18,,0.08,,120.75,,2,,77.27,,1.65,,"20,097",,"251,286",,"3,252",,"2,081",,"151,868",,"57,039",
"Cape Fear Public Transportation Authority, dba: Wave Transit",Wilmington,NC,40006,Independent Public Agency or Authority of Transit Service,Full Reporter,95833,"Wilmington, NC","255,329",43,VP,DO,1,0.00,,0.00,,79.21,,1,,142.05,,1.63,,0,,"13,069",,92,,165,,"8,037",,"6,182",
Southwest Area Regional Transit District,Uvalde,TX,60256,Independent Public Agency or Authority of Transit Service,Rural Reporter,25498,"Eagle Pass, TX","54,083",42,MB,DO,6,1.00,,0.22,,28.55,,6,,4.55,,0.00,,"35,956",,"163,708",,"35,956",,"5,735",,0,,"35,645",
Shawnee Mass Transit District,Vienna,IL,50315,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,42,MB,DO,42,0.98,,0.02,,128.69,,3,,41.17,,0.00,,"104,974",,"4,403,578",,"106,948",,"34,218",,0,,"1,132,856",
Southwest Area Regional Transit District,Uvalde,TX,60256,Independent Public Agency or Authority of Transit Service,Rural Reporter,25498,"Eagle Pass, TX","54,083",42,DR,DO,36,10.02,,0.21,,80.48,,2,,47.28,,0.00,,"575,653",,"2,717,211",,"57,469",,"33,762",,0,,"657,904",
Yolo County Transportation District,Woodland,CA,90090,Independent Public Agency or Authority of Transit Service,Full Reporter,77068,"Sacramento, CA","1,946,618",42,MB,PT,32,1.84,,0.11,,148.95,,9,,16.35,,1.42,,"1,241,237",,"11,002,955",,"672,978",,"73,868",,"7,742,057",,"1,387,597",
"Okaloosa County Board of County Commissioners, dba: Emerald Coast Rider",Crestview,FL,40128,"City, County or Local Government Unit or Department of Transportation",Full Reporter,61372,"Navarre--Miramar Beach--Destin, FL","226,213",42,DR,PT,32,3.91,,0.08,,77.54,,2,,51.63,,5.08,,"166,966",,"2,207,354",,"42,754",,"28,469",,"434,372",,"455,591",
Crawford Area Transportation Authority,Meadville,PA,30185,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,42,DR,DO,31,14.80,,0.50,,75.89,,3,,29.71,,0.00,,"896,439",,"1,799,756",,"60,587",,"23,714",,0,,"398,665",
"City of Everett, dba: EVERETT TRANSIT",Everett,WA,00005,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",42,MB,DO,27,0.69,,0.04,,192.44,,11,,17.71,,4.68,,"697,819",,"17,851,707",,"1,007,952",,"92,765",,"3,815,254",,"1,115,803",
"City of Eau Claire, dba: Eau Claire Transit",Eau Claire,WI,50099,"City, County or Local Government Unit or Department of Transportation",Full Reporter,26038,"Eau Claire, WI","105,475",42,DR,PT,26,5.54,,0.22,,39.33,,2,,25.37,,2.72,,"167,709",,"768,203",,"30,280",,"19,532",,"282,596",,"255,296",
"Pasco County Board of County Commissioners, dba: Pasco County Public Transportation",New Port Richey,FL,40074,"City, County or Local Government Unit or Department of Transportation",Full Reporter,86599,"Tampa--St. Petersburg, FL","2,783,045",42,MB,DO,25,0.95,,0.07,,90.52,,6,,14.47,,2.55,,"530,895",,"8,091,598",,"559,249",,"89,392",,"3,175,127",,"1,486,346",
SouthWest Transit,Eden Prairie,MN,50518,Independent Public Agency or Authority of Transit Service,Full Reporter,57628,"Minneapolis--St. Paul, MN","2,914,866",42,DR,PT,22,3.67,,0.22,,41.40,,2,,16.92,,1.83,,"408,933",,"1,887,608",,"111,539",,"45,589",,"1,033,967",,"1,098,048",
SouthWest Transit,Eden Prairie,MN,50518,Independent Public Agency or Authority of Transit Service,Full Reporter,57628,"Minneapolis--St. Paul, MN","2,914,866",42,MB,PT,20,2.59,,0.07,,499.94,,14,,36.42,,1.81,,"677,490",,"9,523,448",,"261,523",,"19,049",,"5,248,767",,"478,424",
"Pasco County Board of County Commissioners, dba: Pasco County Public Transportation",New Port Richey,FL,40074,"City, County or Local Government Unit or Department of Transportation",Full Reporter,86599,"Tampa--St. Petersburg, FL","2,783,045",42,DR,DO,17,2.57,,0.04,,117.28,,2,,59.04,,6.44,,"109,140",,"2,507,470",,"42,468",,"21,381",,"389,438",,"365,992",
"City of Eau Claire, dba: Eau Claire Transit",Eau Claire,WI,50099,"City, County or Local Government Unit or Department of Transportation",Full Reporter,26038,"Eau Claire, WI","105,475",42,MB,DO,16,1.23,,0.12,,121.18,,12,,10.43,,4.05,,"685,907",,"5,802,201",,"556,157",,"47,881",,"1,432,457",,"696,795",
"City of Everett, dba: EVERETT TRANSIT",Everett,WA,00005,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",42,DR,DO,15,1.75,,0.02,,211.47,,2,,91.81,,18.08,,"112,410",,"5,905,942",,"64,329",,"27,928",,"326,632",,"330,335",
Crawford Area Transportation Authority,Meadville,PA,30185,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,42,MB,DO,11,1.13,,0.07,,86.94,,6,,15.19,,0.00,,"174,308",,"2,351,147",,"154,752",,"27,042",,0,,"393,828",
"Okaloosa County Board of County Commissioners, dba: Emerald Coast Rider",Crestview,FL,40128,"City, County or Local Government Unit or Department of Transportation",Full Reporter,61372,"Navarre--Miramar Beach--Destin, FL","226,213",42,MB,PT,10,0.95,,0.04,,53.48,,2,,25.23,,4.93,,"59,030",,"1,561,854",,"61,913",,"29,207",,"316,738",,"377,166",
Yolo County Transportation District,Woodland,CA,90090,Independent Public Agency or Authority of Transit Service,Full Reporter,77068,"Sacramento, CA","1,946,618",42,DR,PT,10,3.85,,0.05,,113.53,,1,,83.84,,6.39,,"98,208",,"2,141,235",,"25,540",,"18,860",,"335,121",,"313,913",
Central Oregon Intergovernmental Council,Bend,OR,00057,"MPO, COG or Other Planning Agency",Full Reporter,6868,"Bend, OR","106,988",41,DR,PT,9,0.25,,0.01,,89.09,,3,,31.32,,12.01,,"6,428",,"821,117",,"26,218",,"9,217",,"68,391",,"130,112",
"Town of Blacksburg, dba: Blacksburg Transit",Blacksburg,VA,30091,"City, County or Local Government Unit or Department of Transportation",Full Reporter,8002,"Blacksburg--Christiansburg, VA","72,400",41,DR,DO,9,0.00,,0.00,,92.26,,2,,49.97,,14.85,,0,,"1,309,032",,"26,196",,"14,188",,"88,145",,"145,508",
"Western Maine Transportation Services, Inc.",Auburn,ME,10098,Independent Public Agency or Authority of Transit Service,Full Reporter,49339,"Lewiston, ME","60,743",41,CB,DO,7,3.63,,0.07,,70.58,,1,,50.33,,1.61,,"43,986",,"609,298",,"12,105",,"8,633",,"377,676",,"228,547",
Central Oregon Intergovernmental Council,Bend,OR,00057,"MPO, COG or Other Planning Agency",Full Reporter,6868,"Bend, OR","106,988",41,DR,DO,7,0.53,,0.01,,117.39,,2,,56.94,,16.95,,"11,238",,"1,203,476",,"21,137",,"10,252",,"71,013",,"88,583",
City of Glendale,Glendale,CA,99423,"City, County or Local Government Unit or Department of Transportation",Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",41,DR,PT,6,0.76,,0.01,,116.67,,2,,56.69,,14.50,,"13,628",,"1,011,334",,"17,839",,"8,668",,"69,757",,"89,874",
Connecticut Department of Transportation - CTTRANSIT Stamford Division,Hartford,CT,10056,State Government Unit or Department of Transportation,Full Reporter,10162,"Bridgeport--Stamford, CT--NY","916,408",41,MB,DO,41,0.76,,0.10,,132.44,,17,,7.91,,2.28,,"1,792,384",,"18,704,552",,"2,366,120",,"141,233",,"8,188,141",,"1,534,170",
Peoples Express,Whitmore Lake,MI,55321,Private-Non-Profit Corporation,Rural Reporter,,,,41,DR,DO,41,1.44,,0.05,,51.05,,2,,30.45,,0.00,,"96,388",,"2,039,159",,"66,977",,"39,943",,0,,"804,911",
Kerr Area Transportation Authority,Henderson,NC,41048,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,41,DR,DO,39,1.92,,0.06,,34.68,,1,,31.43,,0.00,,"241,408",,"3,942,269",,"125,445",,"113,664",,0,,"1,884,776",
City of Glendale,Glendale,CA,99423,"City, County or Local Government Unit or Department of Transportation",Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",41,MB,PT,35,0.46,,0.02,,99.71,,5,,19.36,,8.88,,"238,992",,"10,012,370",,"517,073",,"100,417",,"1,127,888",,"871,699",
"Town of Blacksburg, dba: Blacksburg Transit",Blacksburg,VA,30091,"City, County or Local Government Unit or Department of Transportation",Full Reporter,8002,"Blacksburg--Christiansburg, VA","72,400",41,MB,DO,32,0.00,,0.00,,100.72,,38,,2.67,,1.56,,0,,"8,657,079",,"3,241,640",,"85,949",,"5,539,875",,"904,509",
"Fort Bend County, Texas, dba: Fort Bend County Public Transportation",Richmond,TX,60103,"City, County or Local Government Unit or Department of Transportation",Full Reporter,40429,"Houston, TX","5,853,575",41,DR,PT,25,0.78,,0.01,,118.17,,2,,53.74,,4.26,,"85,813",,"5,895,904",,"109,719",,"49,893",,"1,383,609",,"993,939",
Greater Roanoke Transit Company,Roanoke,VA,30007,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,75421,"Roanoke, VA","217,312",41,MB,DO,24,0.98,,0.12,,73.08,,9,,7.95,,1.40,,"1,051,109",,"8,515,840",,"1,071,150",,"116,530",,"6,104,437",,"1,668,204",
San Luis Obispo Regional Transit Authority,San Luis Obispo,CA,90206,Independent Public Agency or Authority of Transit Service,Full Reporter,79147,"San Luis Obispo, CA","56,904",41,MB,DO,22,1.29,,0.08,,190.82,,12,,15.74,,1.42,,"798,550",,"9,763,945",,"620,385",,"51,169",,"6,868,841",,"1,199,539",
"Western Maine Transportation Services, Inc.",Auburn,ME,10098,Independent Public Agency or Authority of Transit Service,Full Reporter,49339,"Lewiston, ME","60,743",41,MB,DO,20,0.24,,0.02,,75.67,,5,,14.00,,4.24,,"18,124",,"1,078,884",,"77,038",,"14,258",,"254,610",,"147,142",
Kerr Area Transportation Authority,Henderson,NC,41048,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,41,MB,DO,2,0.59,,0.07,,21.09,,3,,8.21,,0.00,,"8,140",,"113,373",,"13,808",,"5,375",,0,,"72,945",
San Luis Obispo Regional Transit Authority,San Luis Obispo,CA,90206,Independent Public Agency or Authority of Transit Service,Full Reporter,79147,"San Luis Obispo, CA","56,904",41,DR,DO,19,2.73,,0.02,,167.91,,2,,111.21,,17.62,,"87,501",,"3,563,306",,"32,040",,"21,221",,"202,270",,"284,204",
Greater Roanoke Transit Company,Roanoke,VA,30007,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,75421,"Roanoke, VA","217,312",41,DR,PT,17,3.20,,0.07,,90.68,,2,,45.36,,4.83,,"202,908",,"2,872,749",,"63,328",,"31,679",,"595,207",,"551,117",
"Fort Bend County, Texas, dba: Fort Bend County Public Transportation",Richmond,TX,60103,"City, County or Local Government Unit or Department of Transportation",Full Reporter,40429,"Houston, TX","5,853,575",41,CB,PT,16,3.20,,0.18,,134.74,,8,,17.38,,0.76,,"380,622",,"2,069,566",,"119,052",,"15,360",,"2,728,046",,"417,421",
"Western Maine Transportation Services, Inc.",Auburn,ME,10098,Independent Public Agency or Authority of Transit Service,Full Reporter,49339,"Lewiston, ME","60,743",41,DR,DO,14,0.26,,0.01,,137.40,,3,,49.67,,13.28,,"9,120",,"1,722,767",,"34,686",,"12,538",,"129,726",,"163,100",
Central Oregon Intergovernmental Council,Bend,OR,00057,"MPO, COG or Other Planning Agency",Full Reporter,6868,"Bend, OR","106,988",41,MB,PT,12,0.47,,0.03,,215.91,,12,,18.44,,5.30,,"89,653",,"3,553,605",,"192,758",,"16,459",,"671,077",,"233,804",
Central Oregon Intergovernmental Council,Bend,OR,00057,"MPO, COG or Other Planning Agency",Full Reporter,6868,"Bend, OR","106,988",41,CB,DO,12,0.56,,0.04,,142.93,,9,,15.09,,1.14,,"87,934",,"2,377,949",,"157,585",,"16,637",,"2,076,881",,"489,639",
Central Oregon Intergovernmental Council,Bend,OR,00057,"MPO, COG or Other Planning Agency",Full Reporter,6868,"Bend, OR","106,988",41,MB,DO,1,0.00,,0.00,,89.99,,14,,6.53,,2.52,,0,,"169,174",,"25,913",,"1,880",,"67,069",,"30,900",
Grant County Transportation Authority,Moses Lake,WA,00309,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,40,VP,DO,9,2.88,,0.94,,26.79,,9,,3.07,,0.00,,"55,881",,"59,599",,"19,388",,"2,225",,0,,"132,693",
"City of Harrisonburg, dba: Harrisonburg Department of Public Transportation",Harrisonburg,VA,30094,"City, County or Local Government Unit or Department of Transportation",Full Reporter,37162,"Harrisonburg, VA","73,377",40,DR,DO,7,6.58,,0.24,,62.58,,2,,27.25,,8.45,,"212,503",,"879,554",,"32,274",,"14,054",,"104,052",,"150,127",
Bay Transit,Urbanna,VA,30172,Area Agency on Aging,Rural Reporter,,,,40,DR,DO,40,0.66,,0.02,,73.86,,2,,37.39,,0.00,,"78,900",,"4,470,699",,"119,573",,"60,526",,0,,"1,392,984",
Four County Transit,Cedar Bluff,VA,30174,Private-Non-Profit Corporation,Rural Reporter,,,,40,MB,DO,40,0.00,,0.00,,67.04,,3,,19.63,,0.00,,0,,"2,099,902",,"106,986",,"31,325",,0,,"648,176",
Franklin Regional Transit Authority,Greenfield,MA,10173,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,40,DR,TX,4,1.16,,0.02,,322.10,,5,,69.41,,0.00,,"4,960",,"297,624",,"4,288",,924,,0,,"31,327",
Grant County Transportation Authority,Moses Lake,WA,00309,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,40,DR,DO,4,0.00,,0.00,,149.44,,2,,80.39,,0.00,,0,,"271,083",,"3,372",,"1,814",,0,,"81,733",
"City of Harrisonburg, dba: Harrisonburg Department of Public Transportation",Harrisonburg,VA,30094,"City, County or Local Government Unit or Department of Transportation",Full Reporter,37162,"Harrisonburg, VA","73,377",40,MB,DO,33,1.39,,0.36,,83.49,,22,,3.80,,1.91,,"1,839,457",,"5,049,853",,"1,327,799",,"60,482",,"2,638,317",,"603,509",
County of Kaua'i - Transportation Agency,Lihue,HI,90237,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,43615,"Kahului, HI","55,934",40,MB,DO,29,0.62,,0.05,,77.90,,6,,12.93,,0.00,,"334,558",,"6,985,327",,"540,127",,"89,668",,0,,"1,192,547",
Franklin Regional Transit Authority,Greenfield,MA,10173,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,40,DR,PT,25,4.46,,0.06,,124.33,,2,,77.62,,0.00,,"109,250",,"1,900,406",,"24,484",,"15,285",,0,,"224,937",
Fort Wayne Public Transportation Corporation,Fort Wayne,IN,50044,Independent Public Agency or Authority of Transit Service,Full Reporter,31087,"Fort Wayne, IN","335,934",40,MB,DO,25,0.92,,0.10,,116.91,,13,,8.82,,2.54,,"1,168,440",,"11,201,828",,"1,269,566",,"95,814",,"4,409,605",,"1,346,468",
Kern Regional Transit,Bakersfield,CA,91059,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,40,MB,PT,24,2.97,,0.06,,145.74,,3,,51.23,,0.00,,"398,020",,"6,864,531",,"133,988",,"47,102",,0,,"1,787,643",
City of Lawrence,Lawrence,KS,70048,"City, County or Local Government Unit or Department of Transportation",Full Reporter,48232,"Lawrence, KS","94,998",40,MB,PT,21,0.29,,0.03,,80.26,,10,,8.44,,2.88,,"200,506",,"5,907,680",,"700,155",,"73,611",,"2,051,454",,"907,072",
City of Lawrence,Lawrence,KS,70048,"City, County or Local Government Unit or Department of Transportation",Full Reporter,48232,"Lawrence, KS","94,998",40,DR,PT,19,1.28,,0.04,,83.07,,2,,34.67,,7.70,,"82,800",,"2,242,093",,"64,667",,"26,989",,"291,072",,"315,093",
Kern Regional Transit,Bakersfield,CA,91059,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,40,DR,PT,16,1.06,,0.01,,161.69,,2,,72.05,,0.00,,"68,780",,"4,677,388",,"64,918",,"28,928",,0,,"264,953",
Fort Wayne Public Transportation Corporation,Fort Wayne,IN,50044,Independent Public Agency or Authority of Transit Service,Full Reporter,31087,"Fort Wayne, IN","335,934",40,DR,DO,15,2.61,,0.05,,116.93,,2,,57.26,,7.26,,"153,943",,"3,373,768",,"58,916",,"28,853",,"464,816",,"375,113",
Grant County Transportation Authority,Moses Lake,WA,00309,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,40,MB,DO,15,0.00,,0.00,,164.48,,4,,39.66,,0.00,,0,,"4,178,350",,"105,344",,"25,404",,0,,"472,479",
Grant County Transportation Authority,Moses Lake,WA,00309,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,40,DR,PT,12,0.00,,0.00,,69.73,,2,,30.78,,0.00,,0,,"639,830",,"20,784",,"9,176",,0,,"174,475",
Franklin Regional Transit Authority,Greenfield,MA,10173,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,40,MB,PT,11,0.01,,0.00,,151.22,,4,,37.22,,0.00,,410,,"2,113,308",,"56,774",,"13,975",,0,,"314,481",
County of Kaua'i - Transportation Agency,Lihue,HI,90237,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,43615,"Kahului, HI","55,934",40,DR,DO,11,3.70,,0.09,,89.94,,2,,40.13,,0.00,,"188,896",,"2,050,681",,"51,099",,"22,800",,0,,"333,836",
Isabella County Transportation Commission,Mt. Pleasant,MI,50244,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,39,MB,DO,5,0.37,,0.02,,82.55,,4,,18.69,,0.00,,"14,995",,"756,075",,"40,457",,"9,159",,0,,"103,735",
"City of Culver City, dba: Culver City Municipal Bus Lines",Culver City,CA,90039,"City, County or Local Government Unit or Department of Transportation",Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",39,MB,DO,37,0.50,,0.05,,176.50,,17,,10.23,,2.67,,"1,142,579",,"23,209,282",,"2,267,843",,"131,498",,"8,692,858",,"1,335,642",
Isabella County Transportation Commission,Mt. Pleasant,MI,50244,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,39,DR,DO,34,1.35,,0.06,,75.22,,3,,21.93,,0.00,,"308,981",,"5,004,725",,"228,264",,"66,535",,0,,"992,639",
"City of Culver City, dba: Culver City Municipal Bus Lines",Culver City,CA,90039,"City, County or Local Government Unit or Department of Transportation",Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",39,DR,DO,2,0.50,,0.00,,654.73,,5,,125.06,,65.27,,"1,874",,"470,096",,"3,759",,718,,"7,202",,"6,471",
