Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Maintenance Facility (Service and Inspection),Heavy Maintenance & Overhaul (Backshop),General Purpose Maintenance Facility/Depot,Vehicle Washing Facility,Vehicle Blow-Down Facility,Vehicle Fueling Facility,Vehicle Testing Facility,Maintenance Facilities,Administrative Office / Sales Office,Revenue Collection Facility,Combined Administrative and Maintenance Facility,"Other, Administrative & Maintenance",Administrative and Other Non-Passenger Facilities,Bus Transfer Center,Elevated Fixed Guideway Station,At-Grade Fixed Guideway Station,Underground Fixed Guideway Station,Simple At-Grade Platform Station,Exclusive Grade-Separated Platform Station,Ferryboat Terminal,Passenger Stations and Terminals,Surface Parking Lot,Parking Structure,"Other, Passenger or Parking",Parking and Other Passenger Facilities,Total Facilities
"City of Petersburg , dba: Petersburg Area Transit",Petersburg,VA,30009,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,74746,"Richmond, VA","1,059,150",17,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"City of Charlottesville, dba: Charlottesville Area Transit",Charlottesville,VA,30036,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,15724,"Charlottesville, VA","104,191",19,1,0,0,1,0,1,0,3,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,5
"City of Annapolis, dba: Annapolis Department of Transportation",Annapolis,MD,30040,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,4843,"Baltimore, MD","2,212,038",11,1,0,0,1,0,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4
"Board of Commissioners of Allegany County Maryland, dba: Allegany County Transit",Cumberland,MD,30041,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,24,Maryland Non-UZA,"1,214,444",15,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"Washington County , dba: Washington County Transit",Hagerstown,MD,30042,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,36190,"Hagerstown, MD--WV--PA--VA","197,557",12,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
"City of Bristol Virginia, dba: Bristol Virginia Transit",Bristol,VA,30053,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,10351,"Bristol, TN--VA","70,638",6,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"City of Sharon, dba: Shenango Valley Shuttle Service",Sharon,PA,30055,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,42,Pennsylvania Non-UZA,"4,196,634",24,1,0,2,0,0,0,0,3,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7
Weirton Transit Corporation,Weirton,WV,30066,Other Publicly-Owned or Privately Chartered Corporation,Reduced Reporter,84859,"Steubenville--Weirton, OH--WV--PA","64,981",10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Harford County Maryland, dba: Harford Transit LINK",Bel Air,MD,30074,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,6290,"Bel Air--Aberdeen, MD","214,647",25,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"City of Fredericksburg, dba: Fredericksburg Regional Transit",Fredericksburg,VA,30079,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,31600,"Fredericksburg, VA","167,679",20,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3
"Monongalia County Urban Mass Transit Authority, dba: Mountain Line Transit Authority",Morgantown,WV,30089,Independent Public Agency or Authority of Transit Service,Reduced Reporter,59275,"Morgantown, WV","77,620",30,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Eastern Panhandle Transit Authority,Martinsburg,WV,30090,Independent Public Agency or Authority of Transit Service,Reduced Reporter,36190,"Hagerstown, MD--WV--PA--VA","197,557",24,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"The County Commissioners of Carroll County, Maryland, dba: Carroll Transit System",Westminster,MD,30092,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,31519,"Frederick, MD","176,456",27,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"City of Hazleton, dba: Hazleton Public Transit",Hazleton,PA,30093,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,37945,"Hazleton, PA","50,860",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"City of Winchester, dba: WinTran",Winchester,VA,30099,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,96103,"Winchester, VA","83,377",7,1,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
National Capital Region Transportation Planning Board,Washington,DC,30106,"MPO, COG or Other Planning Agency",Reduced Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,6
"Cecil County Government , dba: Cecil Transit",Elkton,MD,30108,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125",18,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"St. Mary's County Government , dba: St. Mary's Transit System",California,MD,30109,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,49594,"Lexington Park--California--Chesapeake Ranch Estates, MD","62,352",21,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"District Three Governmental Cooperative, dba: Mountain Lynx Transit",Marion,VA,30123,Independent Public Agency or Authority of Transit Service,Reduced Reporter,10351,"Bristol, TN--VA","70,638",27,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Board of County Commissioners of Calvert County, Maryland",Prince Frederick,MD,30131,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,49594,"Lexington Park--California--Chesapeake Ranch Estates, MD","62,352",14,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"Butler Transit  Authority, dba: The Bus",Butler,PA,30141,Independent Public Agency or Authority of Transit Service,Reduced Reporter,69697,"Pittsburgh, PA","1,745,039",14,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,3
"County of Carbon, dba: Carbon County Community Transit",Jim Thorpe,PA,30167,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,1495,"Allentown--Bethlehem, PA--NJ","621,703",14,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Queen Anne's County Department of Aging,Centreville,MD,30192,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,4843,"Baltimore, MD","2,212,038",13,0,0,0,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
"City of Suffolk, dba: Suffolk Transit",Suffolk,VA,30198,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,90892,"Virginia Beach--Norfolk, VA","1,451,578",8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
New River Transit Authority,Beckley,WV,30199,Independent Public Agency or Authority of Transit Service,Reduced Reporter,6139,"Beckley, WV","57,468",15,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Radford,Radford,VA,30200,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,8002,"Blacksburg--Christiansburg, VA","72,400",11,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
York County,Yorktown,VA,30203,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,90892,"Virginia Beach--Norfolk, VA","1,451,578",3,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Colonial Williamsburg Foundation,Williamsburg,VA,30204,Private-Non-Profit Corporation,Reduced Reporter,95411,"Williamsburg, VA","89,585",6,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Central Shenandoah Planning District Commission,Staunton,VA,30989,"MPO, COG or Other Planning Agency",Reduced Reporter,84630,"Staunton--Waynesboro, VA","59,065",18,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2
Airport Corridor Transportation Association,Pittsburgh,PA,30990,Private-Non-Profit Corporation,Reduced Reporter,69697,"Pittsburgh, PA","1,745,039",2,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"City of Gastonia, dba: Gastonia Transit",Gastonia,NC,40010,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,32653,"Gastonia, NC","176,897",9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"City of High Point, dba: High Point Transit System",High Point,NC,40011,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,38809,"High Point, NC","167,830",18,0,0,1,1,0,1,0,3,1,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,6
"City of Ashland, dba: Ashland Bus System",Ashland,KY,40016,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,40753,"Huntington, WV--KY--OH","200,157",12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"City of Owensboro, dba: Owensboro Transit Systems",Owensboro,KY,40020,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,66484,"Owensboro, KY","76,433",9,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
"Columbus Consolidated Government, dba: Columbus Metropolitan Transit System",Columbus,GA,40024,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,19099,"Columbus, GA--AL","267,746",21,2,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4
Tuscaloosa County Parking and Transit Authority,Tuscaloosa,AL,40045,Independent Public Agency or Authority of Transit Service,Reduced Reporter,89110,"Tuscaloosa, AL","156,450",12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
City of Gadsden,Gadsden,AL,40049,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,32113,"Gadsden, AL","57,975",12,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"City of Johnson City, dba: Johnson City Transit System",Johnson City,TN,40054,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,43210,"Johnson City, TN","128,519",23,0,0,2,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,5
"City of Bristol Tennessee, dba: Bristol Tennessee Transit System",Bristol,TN,40055,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,10351,"Bristol, TN--VA","70,638",7,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
Pee Dee Regional Transportation Authority,Florence,SC,40056,Independent Public Agency or Authority of Transit Service,Reduced Reporter,30061,"Florence, SC","89,436",29,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
"City of Hattiesburg, dba: Hub City Transit",Hattiesburg,MS,40060,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,37594,"Hattiesburg, MS","80,821",10,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
East Alabama Regional Planning and Development Commission,Anniston,AL,40064,"MPO, COG or Other Planning Agency",Reduced Reporter,2629,"Anniston--Oxford, AL","78,302",28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Lee-Russell Council of Governments,Opelika,AL,40073,"MPO, COG or Other Planning Agency",Reduced Reporter,4033,"Auburn, AL","100,842",25,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"City of Kingsport, dba: Kingsport Area Transit Service",Kingsport,TN,40080,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,45235,"Kingsport, TN--VA","98,411",13,1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,4
"City of Anderson , dba: Electric City Transit",Anderson,SC,40081,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2420,"Anderson--Clemson, SC","118,369",6,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"City of Clarksville, dba: Clarksville Transit System",Clarksville,TN,40092,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,17317,"Clarksville, TN--KY","200,947",29,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
"City of Greenville, dba:  Greenville Area Transit",Greenville,NC,40095,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,35380,"Greenville, NC","120,150",12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"City of Rocky Mount, dba: Tar River Transit",Rocky Mount,NC,40096,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,75988,"Rocky Mount, NC","63,297",26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"Council on Aging of St. Lucie, Inc., dba: Community Transit",Port Saint Lucie,FL,40097,Private-Non-Profit Corporation,Reduced Reporter,71479,"Port St. Lucie, FL","437,745",10,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Spartanburg Transit System,Spartanburg,SC,40101,Independent Public Agency or Authority of Transit Service,Reduced Reporter,83548,"Spartanburg, SC","196,943",8,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
Waccamaw Regional Transportation Authority,Conway,SC,40102,Independent Public Agency or Authority of Transit Service,Reduced Reporter,60895,"Myrtle Beach--North Myrtle Beach, SC--NC","298,954",29,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
Wiregrass Transit Authority,Dothan,AL,40103,"MPO, COG or Other Planning Agency",Reduced Reporter,24472,"Dothan, AL","72,423",29,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of San Juan,San Juan,PR,40112,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,79093,"San Juan, PR","1,844,410",9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4
Municipality of Aguada,Aguada,PR,40114,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,631,"Aguadilla--Isabela--San Sebastián, PR","232,573",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"Municipality of Caguas , dba: Autonomous Municipality of Caguas",Caguas,PR,40115,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,79093,"San Juan, PR","1,844,410",23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Municipality of Vega Baja,Vega Baja,PR,40117,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,79093,"San Juan, PR","1,844,410",8,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,1,0,1,4
"City of Ocala, Florida, dba: SunTran",Ocala,FL,40120,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,64567,"Ocala, FL","182,647",9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Municipality of Hormigueros,Hormigueros,PR,40121,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,55738,"Mayagüez, PR","91,583",5,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Municipality of Cayey,Cayey,PR,40122,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,79093,"San Juan, PR","1,844,410",6,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,3
Municipality of Gurabo,Gurabo,PR,40123,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,79093,"San Juan, PR","1,844,410",4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Municipality of Cidra,Cidra,PR,40124,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,79093,"San Juan, PR","1,844,410",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Municipality of Carolina,Carolina,PR,40125,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,79093,"San Juan, PR","1,844,410",26,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,3
"Municipality of Humacao, dba: Sistema de Transporte Colectivo de Humacao",Humacao,PR,40126,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,79093,"San Juan, PR","1,844,410",6,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,3
"Macon-Bibb County Transit Authority, dba: Public Bus Transportation",Macon,GA,40130,Independent Public Agency or Authority of Transit Service,Reduced Reporter,52822,"Macon-Bibb County, GA","140,111",30,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
"Davidson County , dba: Davidson County Transportation",Lexington,NC,40131,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,38809,"High Point, NC","167,830",27,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Goldsboro-Wayne Transportation Authority,Goldsboro,NC,40132,Independent Public Agency or Authority of Transit Service,Reduced Reporter,33814,"Goldsboro, NC","54,456",21,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
"Guilford County , dba: Guilford County Transportation & Mobility Services",Greensboro,NC,40133,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,35164,"Greensboro, NC","338,928",21,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Municipality of Bayamon,Bayamon,PR,40137,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,79093,"San Juan, PR","1,844,410",12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3
"Town of Cary, dba: GoCary",Cary,NC,40143,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,73261,"Raleigh, NC","1,106,646",24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"City of Gainesville, dba: Hall Area Transit",Gainesville,GA,40144,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,32194,"Gainesville, GA","164,365",16,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
Municipality of Manati,Manati,PR,40145,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,79093,"San Juan, PR","1,844,410",6,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,3
Hernando County Board of County Commissioners,Brooksville,FL,40146,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,84024,"Spring Hill, FL","169,050",10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Municipality of Barceloneta,,PR,40150,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,5040,"Barceloneta--Florida--Bajadero, PR","65,070",10,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,3
Municipality of Hatillo,Hatillo,PR,40151,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,3034,"Arecibo, PR","123,724",4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2
"St Johns County, Florida, dba: Sunshine Bus Co.",Saint Augustine,FL,40155,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,77230,"St. Augustine, FL","91,786",29,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Lower Savannah COG,Aiken,SC,40156,"MPO, COG or Other Planning Agency",Reduced Reporter,4222,"Augusta-Richmond County, GA--SC","431,480",7,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
Municipality of Camuy,Camuy,PR,40160,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,3034,"Arecibo, PR","123,724",6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,2
Cherokee County Board of Commissioners,Canton,GA,40161,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,3817,"Atlanta, GA","5,100,112",19,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"City of Franklin , dba: Franklin Transit Authority",Franklin,TN,40162,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,61273,"Nashville-Davidson, TN","1,158,642",11,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
Municipality of Catano,Catano,PR,40163,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,79093,"San Juan, PR","1,844,410",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2
Municipality of Fajardo,Fajardo,PR,40164,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,28981,"Fajardo, PR","68,587",4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Municipality of Juncos,Juncos,PR,40165,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,79093,"San Juan, PR","1,844,410",7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
City of Jacksonville,Jacksonville,NC,40166,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,42400,"Jacksonville, NC","111,224",9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
"City of Concord, dba: Concord Kannapolis Area Transit (Rider)",Concord,NC,40167,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,19558,"Concord, NC","278,612",12,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,3
Southeast Tennessee Human Resource Agency -Cleveland Urban Area Transit System Division,Dunlap,TN,40170,Other Publicly-Owned or Privately Chartered Corporation,Reduced Reporter,17722,"Cleveland, TN","73,918",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Municipality of Yauco,Yauco,PR,40174,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,97561,"Yauco, PR","63,885",22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3
Henry County,Mcdonough,GA,40181,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,3817,"Atlanta, GA","5,100,112",28,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Municipality of Toa Baja,Toa Baja,PR,40182,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,79093,"San Juan, PR","1,844,410",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Municipality of San Sebastian,San Sebastian,PR,40183,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,631,"Aguadilla--Isabela--San Sebastián, PR","232,573",7,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Bowling Green,Bowling Green,KY,40184,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,9379,"Bowling Green, KY","97,814",16,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
City of Murfreesboro,Murfreesboro,TN,40186,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,60733,"Murfreesboro, TN","177,313",7,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
York County Council on Aging,Rock Hill,SC,40187,Private Provider Reporting on Behalf of a Public Entity,Reduced Reporter,75745,"Rock Hill, SC","218,443",23,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Virgin Islands Department of Public Works,Charlotte Amalie,VI,40188,State Government Unit or Department of Transportation,Reduced Reporter,78,"Virgin Islands, VI","87,146",30,1,0,0,0,0,0,0,1,1,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,5
"East Tennessee Human Resource Agency, Inc.",Knoxville,TN,40190,Other Publicly-Owned or Privately Chartered Corporation,Reduced Reporter,59410,"Morristown, TN","66,539",71,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"City of Hinesville, Georgia, dba: Liberty Transit",Hinesville,GA,40193,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,39133,"Hinesville, GA","53,107",6,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Municipality of Mayaguez,Mayaguez,PR,40194,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,55738,"Mayagüez, PR","91,583",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
Municipality of San Lorenzo,San Lorenzo,PR,40195,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,79093,"San Juan, PR","1,844,410",9,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,3
Municipality of Lares,Lares,PR,40197,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,72,Puerto Rico Non-UZA,"463,143",8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Municipality of Dorado,Dorado,PR,40198,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,79093,"San Juan, PR","1,844,410",9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"Autonomous Municipality of Vega Alta, dba: Municipio Autonomo de Vega Alta",Vega Alta,PR,40199,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,79093,"San Juan, PR","1,844,410",7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Municipality of Guaynabo,Guaynabo,PR,40201,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,79093,"San Juan, PR","1,844,410",15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Mid-Cumberland Human Resource Agency,Nashville,TN,40204,Independent Public Agency or Authority of Transit Service,Reduced Reporter,60733,"Murfreesboro, TN","177,313",105,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"The County of Iredell, dba: Iredell County Area Transportation Services",Statesville,NC,40205,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,15670,"Charlotte, NC--SC","1,379,873",25,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Berkeley Charleston Dorchester RTMA, dba: TriCounty Link",Moncks Corner,SC,40206,Independent Public Agency or Authority of Transit Service,Reduced Reporter,15508,"Charleston, SC","684,773",22,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Hoke County,Raeford,NC,40209,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,29440,"Fayetteville, NC","325,008",10,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
