Agency,Number of Operating Fleets,Ridership,Service Area Population,Service Area Sq Miles,Primary UZA Area Sq Miles,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal),Compressed Natural Gas (gal),Bio Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kWh),Electric Battery (kWh),Total Diesel (gal),Total kWh,NTD ID,City,State,UZA Name,Total Operating Hours,Total Employees
City of Lake Mills,2,0,,,,,,,,,,,,,,,,,,,
"City of Lakewood , dba: DASH Transit",12,0,80611.0,10.0,1636.83,,,,,,,,,,,,,,,,
City of Lamar,3,0,,,,,,,,,,,,,,,,,,,
"City of Las Cruces NM, dba: RoadRUNNER Transit",54,0,116610.0,55.0,64.47,,,,,,,,,,,,,,,,
City of Las Vegas,4,0,,,,,,,,,,,,,,,,,,,
City of Lauderdale Lakes,2,0,36924.0,4.0,1244.18,,,,,,,,,,,,,,,,
City of Lauderhill,7,0,70964.0,9.0,1244.18,,,,,,,,,,,,,,,,
City of Laurel,1,0,,,,,,,,,,,,,,,,,,,
City of Lawrence,80,1333812,95256.0,31.0,29.92,62569.0,128028.0,0.0,0.0,0.0,0.0,0.0,80859.0,190597.0,80859.0,,,,,,
"City of Lawton  , dba: Lawton Area Transit System",42,0,93714.0,42.0,46.83,,,,,,,,,,,,,,,,
"City of Lebanon, dba: Lebanon Interneighborhood Express",12,0,,,,,,,,,,,,,,,,,,,
"City of Lewiston, dba: Lewiston Transit System",8,0,54798.0,17.0,27.93,,,,,,,,,,,,,,,,
City of Liberal,10,0,,,,,,,,,,,,,,,,,,,
City of Lighthouse Point,1,0,10587.0,2.0,1244.18,,,,,,,,,,,,,,,,
"City of Lincoln, dba: StarTran",146,2202203,291082.0,99.0,94.17,55173.0,22612.0,0.0,248974.0,0.0,0.0,0.0,247712.0,326759.0,247712.0,70001.0,Lincoln,NE,"Lincoln, NE",,120.5
"City of Lodi, dba: GrapeLine",26,0,67586.0,16.0,16.34,,,,,,,,,,,,,,,,
"City of Lompoc, dba: City of Lompoc - Lompoc Transit",20,0,54379.0,40.0,9.81,,,,,,,,,,,,,,,,
City of Long Beach,14,241359,33275.0,13.0,3248.12,56078.0,804.0,0.0,0.0,0.0,0.0,0.0,0.0,56882.0,0.0,20006.0,Long Beach,NY,"New York--Jersey City--Newark, NY--NJ",,31.0
"City of Longview, dba: City of Longview Transit",16,0,80445.0,44.0,90.26,,,,,,,,,,,,,,,,
"City of Los Angeles, dba: City of Los Angeles Department of Transportation",1452,13297789,4849476.0,465.0,1636.83,,,,,,,,,,,,,,,,
"City of Loveland, Colorado, dba: City of Loveland Transit",18,317037,77194.0,37.0,117.98,28613.0,13105.0,0.0,10859.0,0.0,0.0,0.0,0.0,52577.0,0.0,80025.0,Loveland,CO,"Fort Collins, CO",,19.6
"City of Lubbock, dba: CITIBUS",170,2345265,192574.0,50.0,106.27,349116.0,106745.0,0.0,0.0,0.0,0.0,0.0,35741.0,455861.0,35741.0,60010.0,Lubbock,TX,"Lubbock, TX",,188.0
City of Lynwood,4,0,66723.0,5.0,1636.83,,,,,,,,,,,,,,,,
"City of Macomb, dba: McDonough County Public Transportation",120,0,,,,,,,,,,,,,,,,,,,
City of Madera,38,0,66225.0,16.0,20.96,,,,,,,,,,,,,,,,
City of Madison,362,4699580,348359.0,126.0,149.7,989508.0,0.0,0.0,0.0,0.0,0.0,0.0,36465.0,989508.0,36465.0,50005.0,Madison,WI,"Madison, WI",,452.5
City of Malibu,2,0,10654.0,25.0,1636.83,,,,,,,,,,,,,,,,
"City of Manhattan Beach , dba: City of Manhattan Beach Dial-A-Ride",3,0,34668.0,10.0,1636.83,,,,,,,,,,,,,,,,
City of Manitowoc,14,0,,,,,,,,,,,,,,,,,,,
"City of Mankato , dba: Mankato Transit System",36,0,59793.0,32.0,25.63,,,,,,,,,,,,,,,,
"City of Manteca, dba: Manteca Transit",12,0,81345.0,21.0,20.47,,,,,,,,,,,,,,,,
City of Maple Grove,18,296309,75355.0,36.0,1014.79,391.0,32195.0,0.0,0.0,0.0,0.0,0.0,0.0,32586.0,0.0,,,,,,
City of Margate,20,0,59100.0,9.0,1244.18,,,,,,,,,,,,,,,,
City of Maricopa,24,0,,,13.2,,,,,,,,,,,,,,,,
City of Marinette,4,0,,,,,,,,,,,,,,,,,,,
"City of Marion , dba: Marion Transit System",14,0,,,,,,,,,,,,,,,,,,,
City of Marshfield,11,0,,,,,,,,,,,,,,,,,,,
City of Mason City,12,0,,,,,,,,,,,,,,,,,,,
City of Mauston,2,0,,,,,,,,,,,,,,,,,,,
City of Maywood,10,0,27748.0,2.0,1636.83,,,,,,,,,,,,,,,,
"City of McAllen , dba: Metro McAllen",30,0,129877.0,49.0,326.22,,,,,,,,,,,,,,,,
City of McFarland,1,0,,,,,,,,,,,,,,,,,,,
"City of McKinney, dba: Collin County Transit",48,168889,54525.0,874.0,151.64,0.0,10977.0,0.0,0.0,0.0,0.0,0.0,0.0,10977.0,0.0,,,,,,
City of Mechanicville,2,0,5107.0,1.0,0.0,,,,,,,,,,,,,,,,
City of Medford,3,0,,,,,,,,,,,,,,,,,,,
"City of Memphis, dba: Memphis Area Transit Authority",411,6607680,690943.0,291.0,491.27,1198283.0,135248.0,0.0,0.0,0.0,0.0,654000.0,0.0,1333531.0,654000.0,40003.0,Memphis,TN,"Memphis, TN--MS--AR",,506.0
City of Merrill,4,0,,,,,,,,,,,,,,,,,,,
"City of Michigan , dba: Michigan City Transit",24,0,31479.0,20.0,49.16,,,,,,,,,,,,,,,,
"City of Middletown, dba: Middletown Transit System",10,0,50987.0,20.0,53.62,,,,,,,,,,,,,,,,
"City of Midland, dba: City of Midland Dial-A-Ride",10,0,42075.0,36.0,38.15,,,,,,,,,,,,,,,,
City of Milton-Freewater,4,0,8640.0,79.0,0.0,,,,,,,,,,,,,,,,
City of Milwaukee,3,83799,12954.0,1.0,463.68,0.0,0.0,0.0,0.0,0.0,0.0,855840.0,0.0,0.0,855840.0,,,,,,
City of Minot,5,0,,,26.67,,,,,,,,,,,,,,,,
"City of Miramar , dba: Public Works Department",12,0,141191.0,30.0,1244.18,,,,,,,,,,,,,,,,
City of Mitchell - Palace Transit,12,0,,,,,,,,,,,,,,,,,,,
"City of Mobile, dba: THE WAVE TRANSIT SYSTEM",74,1693582,203900.0,137.0,220.75,234494.0,121886.0,0.0,0.0,0.0,0.0,0.0,0.0,356380.0,0.0,40043.0,Mobile,AL,"Mobile, AL",,109.0
City of Monroe,9,0,,,,,,,,,,,,,,,,,,,
"City of Monroe , dba: Monroe Transit System",24,0,47906.0,31.0,90.97,,,,,,,,,,,,,,,,
City of Monrovia,4,0,37636.0,16.0,1636.83,,,,,,,,,,,,,,,,
"City of Montebello, dba: Montebello Bus Lines",261,1815526,315074.0,151.0,1636.83,0.0,241019.0,0.0,394113.0,0.0,0.0,0.0,129.0,635132.0,129.0,90041.0,Montebello,CA,"Los Angeles--Long Beach--Anaheim, CA",,201.0
City of Monterey Park,8,0,61828.0,8.0,1636.83,,,,,,,,,,,,,,,,
"City of Montgomery, dba: The M (Montgomery Area Transit System)",50,1409243,205764.0,135.0,145.1,34947.0,161008.0,0.0,0.0,0.0,0.0,0.0,0.0,195955.0,0.0,40044.0,Montgomery,AL,"Montgomery, AL",,122.0
"City of Moorhead, dba: Metropolitan Area Transit",22,528450,49495.0,26.0,77.73,90329.0,4698.0,0.0,0.0,0.0,0.0,0.0,0.0,95027.0,0.0,,,,,,
City of Moorpark,4,0,35975.0,12.0,80.2,,,,,,,,,,,,,,,,
City of Mount Vernon,3,0,,,,,,,,,,,,,,,,,,,
City of Murfreesboro,14,0,130968.0,62.0,86.13,,,,,,,,,,,,,,,,
City of Muscatine,16,0,,,,,,,,,,,,,,,,,,,
"City of Nashua, dba: Nashua Transit System",28,607073,187804.0,250.0,195.56,0.0,18735.0,0.0,90611.0,17242.0,0.0,0.0,0.0,126588.0,0.0,,,,,,
"City of Needles, dba: Needles Area Transit",1,0,,,,,,,,,,,,,,,,,,,
City of Neligh,2,0,,,,,,,,,,,,,,,,,,,
City of Nevada,1,0,,,,,,,,,,,,,,,,,,,
"City of New Castle, dba: New Castle Transit",4,0,,,,,,,,,,,,,,,,,,,
City of New Madrid,2,0,,,,,,,,,,,,,,,,,,,
City of New Richmond,2,0,,,,,,,,,,,,,,,,,,,
"City of Niles , dba: Niles Dial-A-Ride Transportation",12,0,237932.0,120.0,147.93,,,,,,,,,,,,,,,,
City of Norman,32,0,128026.0,189.0,45.96,,,,,,,,,,,,,,,,
City of North Platte,8,0,,,,,,,,,,,,,,,,,,,
"City of Norwalk , dba: Norwalk Transit System",62,1078263,637365.0,37.0,1636.83,0.0,51338.0,0.0,277485.0,0.0,0.0,0.0,64418.0,328823.0,64418.0,90022.0,Norwalk,CA,"Los Angeles--Long Beach--Anaheim, CA",,133.0
"City of Ocala, Florida, dba: SunTran",18,0,86589.0,62.0,125.03,,,,,,,,,,,,,,,,
City of Ojai,2,0,,,,,,,,,,,,,,,,,,,
"City of Onalaska, dba: Onalaska Shared Ride Taxi City of Onalaska",9,0,35037.0,22.0,42.24,,,,,,,,,,,,,,,,
City of Oneonta,28,0,,,,,,,,,,,,,,,,,,,
"City of Oshkosh, Wisconsin, dba: GO Transit",69,0,66816.0,25.0,32.84,,,,,,,,,,,,,,,,
"City of Owensboro, dba: Owensboro Transit Systems",9,0,60011.0,21.0,36.4,,,,,,,,,,,,,,,,
City of Oxford,58,0,,,,,,,,,,,,,,,,,,,
City of Paola/Lakemary Center,3,0,,,,,,,,,,,,,,,,,,,
"City of Pasadena, dba: Pasadena Transit",66,958967,141371.0,23.0,1636.83,0.0,31512.0,0.0,258854.0,0.0,0.0,0.0,0.0,290366.0,0.0,,,,,,
City of Pembroke Pines,7,0,166611.0,35.0,1244.18,,,,,,,,,,,,,,,,
City of Pendleton,12,0,,,,,,,,,,,,,,,,,,,
"City of Peoria , dba: Peoria Transit",6,108437,194917.0,179.0,1110.48,,,,,,,,,,,90140.0,Peoria,AZ,"Phoenix--Mesa--Scottsdale, AZ",,12.2
"City of Petaluma, dba: Petaluma Transit",26,269460,60520.0,14.0,20.96,50834.0,6487.0,0.0,0.0,0.0,0.0,0.0,0.0,57321.0,0.0,,,,,,
"City of Petersburg , dba: Petersburg Area Transit",34,0,72422.0,7.0,512.35,,,,,,,,,,,,,,,,
City of Phillipsburg,2,0,,,,,,,,,,,,,,,,,,,
"City of Phoenix Public Transit Department , dba: Valley Metro",1014,27949116,2034618.0,520.0,1110.48,1744393.0,678281.0,0.0,4547847.0,0.0,0.0,0.0,0.0,6970521.0,0.0,,,,,,
City of Pico Rivera,1,0,62942.0,11.0,1636.83,,,,,,,,,,,,,,,,
"City of Pine Bluff, dba: Pine Bluff Transit",14,0,41253.0,31.0,0.0,,,,,,,,,,,,,,,,
City of Plainview Handivan,1,0,,,,,,,,,,,,,,,,,,,
City of Platteville,12,0,,,,,,,,,,,,,,,,,,,
City of Plymouth,34,776654,81026.0,35.0,1014.79,112398.0,31287.0,0.0,0.0,0.0,0.0,0.0,0.0,143685.0,0.0,,,,,,
"City of Pocatello, dba: Pocatello Regional Transit",48,0,175045.0,5460.0,27.46,,,,,,,,,,,,,,,,
City of Pompano Beach,4,0,111954.0,25.0,1244.18,,,,,,,,,,,,,,,,
City of Port Arthur,20,0,57755.0,39.0,66.46,,,,,,,,,,,,,,,,
City of Port Jervis,2,0,,,,,,,,,,,,,,,,,,,
City of Portage,8,0,,,,,,,,,,,,,,,,,,,
City of Portales,3,0,,,,,,,,,,,,,,,,,,,
"City of Porterville, dba: Porterville Transit",22,0,75691.0,49.0,16.35,,,,,,,,,,,,,,,,
City of Portland,28,381460,97377.0,11.0,519.3,,,,,,,,,,,,,,,,
City of Prairie du Chien,3,0,,,,,,,,,,,,,,,,,,,
"City of Pueblo, dba: Pueblo Transit",54,739736,112933.0,39.0,54.7,128767.0,33903.0,0.0,0.0,0.0,0.0,0.0,0.0,162670.0,0.0,80007.0,Pueblo,CO,"Pueblo, CO",,38.0
City of Quincy,34,0,,,,,,,,,,,,,,,,,,,
"City of Racine, Wisconsin, dba: RYDE",111,1315039,112100.0,27.0,52.26,264669.0,18031.0,0.0,0.0,0.0,0.0,0.0,41999.0,282700.0,41999.0,50006.0,Racine,WI,"Racine, WI",,82.92
City of Radford,11,0,18545.0,10.0,33.98,,,,,,,,,,,,,,,,
"City of Raleigh, dba: GoRaleigh",786,4228651,474069.0,125.0,554.82,0.0,0.0,0.0,739144.0,600481.0,0.0,0.0,79863.0,1339625.0,79863.0,,,,,,
"City of Rapid City, dba: Rapid Transit System",36,0,74703.0,55.0,50.33,,,,,,,,,,,,,,,,
"City of Redondo Beach, dba: Beach Cities Transit",36,473836,67233.0,13.0,1636.83,0.0,0.0,0.0,145048.0,0.0,0.0,0.0,0.0,145048.0,0.0,,,,,,
City of Reedsburg,5,0,,,,,,,,,,,,,,,,,,,
City of Rhinelander,6,0,,,,,,,,,,,,,,,,,,,
City of Richland Center,3,0,,,,,,,,,,,,,,,,,,,
"City of Richmond, dba: RoseView Transit",18,0,,,,,,,,,,,,,,,,,,,
"City of Ridgecrest, dba: Ridgerunner",10,0,,,,,,,,,,,,,,,,,,,
"City of Rio Vista, dba: Rio Vista Delta Breeze",4,0,,,,,,,,,,,,,,,,,,,
City of Ripon,5,0,,,,,,,,,,,,,,,,,,,
City of River Falls,3,0,,,,,,,,,,,,,,,,,,,
City of Riverside,15,376209,320164.0,82.0,608.56,,,,,,,,,,,90086.0,Riverside,CA,"Riverside--San Bernardino, CA",,34.0
"City of Rochester, Minnesota, dba: Rochester Public Transit",240,1810495,104230.0,28.0,51.59,0.0,21886.0,0.0,0.0,313685.0,0.0,0.0,3563.0,335571.0,3563.0,,,,,,
City of Rock Hill,20,0,74300.0,15.0,145.15,,,,,,,,,,,,,,,,
"City of Rocky Mount, dba: Tar River Transit",52,0,53713.0,44.0,44.95,,,,,,,,,,,,,,,,
"City of Rome , dba: City of Rome Transit Department",24,401882,36323.0,32.0,44.89,20316.0,50352.0,0.0,0.0,0.0,0.0,0.0,0.0,70668.0,0.0,40058.0,Rome,GA,"Rome, GA",,38.75
City of Rosemead,14,0,54908.0,5.0,1636.83,,,,,,,,,,,,,,,,
"City of Roseville, dba: Roseville Transit",72,0,153300.0,43.0,467.58,,,,,,,,,,,,,,,,
City of Roswell,14,0,,,,,,,,,,,,,,,,,,,
City of Round Rock,20,0,173490.0,67.0,619.62,,,,,,,,,,,,,,,,
City of Russell,2,0,,,,,,,,,,,,,,,,,,,
"City of Salisbury , dba: Salisbury Transit",10,0,40783.0,23.0,200.06,,,,,,,,,,,,,,,,
City of San Juan,9,0,320967.0,77.0,763.6,,,,,,,,,,,,,,,,
City of San Luis Obispo,15,347492,46997.0,22.0,14.11,,,,,,,,,,,,,,,,
City of San Marcos,48,0,63071.0,24.0,24.44,,,,,,,,,,,,,,,,
City of Sandy,18,0,,,,,,,,,,,,,,,,,,,
"City of Santa Clarita, dba: Santa Clarita Transit",264,3273986,252271.0,78.0,77.85,56.0,24101.0,0.0,689447.0,68044.0,0.0,0.0,0.0,781648.0,0.0,,,,,,
City of Santa Fe Springs,2,0,18261.0,25.0,1636.83,,,,,,,,,,,,,,,,
"City of Santa Fe, dba: Santa Fe Trails",58,790507,85627.0,41.0,46.8,3080.0,9451.0,0.0,184896.0,0.0,0.0,0.0,0.0,197427.0,0.0,60077.0,,NM,"Santa Fe, NM",,93.0
"City of Santa Maria, dba: Santa Maria Area Transit",50,919574,150201.0,34.0,27.06,163154.0,37032.0,0.0,0.0,0.0,0.0,0.0,0.0,200186.0,0.0,,,,,,
"City of Santa Monica, dba: Big Blue Bus",429,4498613,1022273.0,69.0,1636.83,0.0,0.0,0.0,1506524.0,0.0,0.0,0.0,258194.0,1506524.0,258194.0,90008.0,Santa Monica,CA,"Los Angeles--Long Beach--Anaheim, CA",,416.18
City of Santa Rosa,93,952452,175775.0,51.0,79.39,,,,,,,,,,,90017.0,Santa Rosa,CA,"Santa Rosa, CA",,74.56
"City of Scottsdale , dba: Scottsdale Trolley",12,580125,159329.0,36.0,1110.48,63893.0,0.0,0.0,63977.0,0.0,0.0,0.0,0.0,127870.0,0.0,,,,,,
"City of Seattle, dba: Seattle Center Monorail",8,228303,753655.0,83.0,982.52,0.0,0.0,0.0,0.0,0.0,0.0,491162.0,0.0,0.0,491162.0,,,,,,
"City of Seymour, dba: Seymour Public Transit",3,0,,,,,,,,,,,,,,,,,,,
City of Shafter,2,0,,,,,,,,,,,,,,,,,,,
"City of Sharon, dba: Shenango Valley Shuttle Service",48,0,96432.0,173.0,0.0,,,,,,,,,,,,,,,,
City of Shawano,5,0,,,,,,,,,,,,,,,,,,,
"City of Sheboygan, dba: Shoreline Metro",40,0,59490.0,23.0,35.31,,,,,,,,,,,,,,,,
City of Shelby,1,0,9317.0,6.0,47.68,,,,,,,,,,,,,,,,
"City of Show Low, dba: Four Seasons Connection",6,0,,,,,,,,,,,,,,,,,,,
"City of Shreveport, dba: Shreveport Area Transit System",106,3049676,275213.0,61.0,180.84,0.0,223942.0,0.0,274529.0,0.0,0.0,0.0,222103.0,498471.0,222103.0,60024.0,Shreveport,LA,"Shreveport, LA",,170.28
"City of Sierra Vista, dba: Vista Transit",14,0,45308.0,152.0,28.28,,,,,,,,,,,,,,,,
City of Silverton,3,0,,,,,,,,,,,,,,,,,,,
"City of Simi Valley, dba: Simi Valley Transit",34,0,126356.0,50.0,31.63,,,,,,,,,,,,,,,,
"City of Sioux City, dba: Sioux City Transit System",50,775937,122128.0,53.0,55.03,118857.0,27629.0,0.0,0.0,0.0,0.0,0.0,0.0,146486.0,0.0,70012.0,Sioux City,IA,"Sioux City, IA--NE--SD",,41.5
City of Smith Center,2,0,,,,,,,,,,,,,,,,,,,
City of Socorro,3,0,,,,,,,,,,,,,,,,,,,
City of Solvang,10,0,,,,,,,,,,,,,,,,,,,
City of South Gate,30,0,99578.0,8.0,1636.83,,,,,,,,,,,,,,,,
City of South Padre Island,5,0,,,,,,,,,,,,,,,,,,,
City of South Pasadena,6,0,25611.0,3.0,1636.83,,,,,,,,,,,,,,,,
"City of South Portland, dba: South Portland Bus Service",7,0,25200.0,14.0,123.88,,,,,,,,,,,,,,,,
"City of Springfield, Ohio, dba: Springfield City Area Transit",26,0,58763.0,25.0,45.08,,,,,,,,,,,,,,,,
"City of Springfield, dba: City Utilities of Springfield, MO",44,1228189,198042.0,96.0,134.33,,,,,,,,,,,70003.0,Springfield,MO,"Springfield, MO",,77.95
City of St. George,20,0,93716.0,47.0,61.03,,,,,,,,,,,,,,,,
"City of St. Joseph, Missouri, dba: St. Joseph Transit",16,0,77645.0,39.0,44.35,,,,,,,,,,,,,,,,
City of Stevens Point,20,0,,,,,,,,,,,,,,,,,,,
City of Stoughton,6,0,12834.0,64.0,149.7,,,,,,,,,,,,,,,,
"City of Suffolk, dba: Suffolk Transit",16,0,94324.0,73.0,481.67,,,,,,,,,,,,,,,,
City of Taft,3,0,,,,,,,,,,,,,,,,,,,
"City of Tallahassee, dba: StarMetro",615,2976290,196169.0,103.0,125.46,357163.0,91914.0,0.0,154731.0,0.0,0.0,0.0,698851.0,603808.0,698851.0,40036.0,Tallahassee,FL,"Tallahassee, FL",,207.0
City of Tamarac,2,0,71541.0,12.0,1244.18,,,,,,,,,,,,,,,,
City of Tehachapi,2,0,,,,,,,,,,,,,,,,,,,
"City of Terre Haute , dba: Terre Haute Transit Utility",20,433791,59614.0,18.0,46.83,12568.0,54703.0,0.0,0.0,0.0,0.0,0.0,0.0,67271.0,0.0,50053.0,Terre Haute,IN,"Terre Haute, IN",,36.6
"City of Thousand Oaks, dba: Thousand Oaks Transit",28,0,420862.0,167.0,80.2,,,,,,,,,,,,,,,,
City of Tomah,4,0,,,,,,,,,,,,,,,,,,,
"City of Torrance, dba: Torrance Transit System",148,1575799,606911.0,103.0,1636.83,0.0,20706.0,0.0,540783.0,0.0,0.0,0.0,0.0,561489.0,0.0,90010.0,Torrance,CA,"Los Angeles--Long Beach--Anaheim, CA",,149.25
City of Tracy,26,0,93000.0,20.0,27.05,,,,,,,,,,,,,,,,
City of Tucson,795,12309692,788356.0,335.0,357.35,,,,,,,,,,,,,,,,
"City of Turlock, dba: Turlock Transit",26,332847,87867.0,22.0,16.89,0.0,19308.0,0.0,46903.0,0.0,0.0,0.0,0.0,66211.0,0.0,,,,,,
"City of Tyler, dba: Tyler Transit",84,0,110490.0,56.0,81.53,,,,,,,,,,,,,,,,
"City of Union City, dba: Union City Transit",40,0,68150.0,18.0,513.8,,,,,,,,,,,,,,,,
City of Vacaville,34,0,102386.0,29.0,21.59,,,,,,,,,,,,,,,,
"City of Valparaiso, dba: Valpo",26,0,34151.0,16.0,33.64,,,,,,,,,,,,,,,,
City of Viroqua,6,0,,,,,,,,,,,,,,,,,,,
"City of Visalia  , dba: Visalia Transit",114,2200748,170810.0,48.0,37.7,0.0,0.0,0.0,541712.0,0.0,0.0,0.0,464627.0,541712.0,464627.0,,,,,,
"City of Waco, dba: Waco Transit System, Inc.",62,1291872,198361.0,99.0,89.88,206516.0,39947.0,0.0,0.0,0.0,0.0,0.0,0.0,246463.0,0.0,60012.0,Waco,TX,"Waco, TX",,153.5
City of Wakeeney Transportation Bus,1,0,,,,,,,,,,,,,,,,,,,
"City of Washington, dba: Washington Transit System",1,0,,,,,,,,,,,,,,,,,,,
City of Watertown,10,0,,,,,,,,,,,,,,,,,,,
"City of Watertown NY, dba: CitiBus",16,0,25290.0,17.0,31.99,,,,,,,,,,,,,,,,
"City of Waukesha , dba: Waukesha Metro Transit",160,1104951,141642.0,43.0,463.68,210444.0,9464.0,0.0,0.0,0.0,0.0,0.0,0.0,219908.0,0.0,50096.0,Waukesha,WI,"Milwaukee, WI",,51.4
City of Waupaca,6,0,,,,,,,,,,,,,,,,,,,
City of Waupun,2,0,,,,,,,,,,,,,,,,,,,
"City of Wausau, Wisconsin, dba: Metro Ride",42,0,39994.0,19.0,48.74,,,,,,,,,,,,,,,,
City of West Bend,14,0,31380.0,15.0,0.0,,,,,,,,,,,,,,,,
City of West Covina,16,0,110212.0,16.0,1636.83,,,,,,,,,,,,,,,,
City of West Hollywood,14,0,36854.0,2.0,1636.83,,,,,,,,,,,,,,,,
City of West Plains,4,0,467570.0,3253.0,,,,,,,,,,,,,,,,,
City of Whitewater,3,0,,,,,,,,,,,,,,,,,,,
City of Whittier,12,0,87708.0,15.0,1636.83,,,,,,,,,,,,,,,,
"City of Wichita , dba: Wichita Transit",130,2442883,395745.0,164.0,226.84,257872.0,107903.0,0.0,0.0,0.0,0.0,0.0,461957.0,365775.0,461957.0,70015.0,Wichita,KS,"Wichita, KS",,130.8
"City of Wichita Falls , dba: Falls RIde",10,0,104553.0,71.0,50.78,,,,,,,,,,,,,,,,
"City of Williamsport, dba: River Valley Transit",62,992809,67938.0,92.0,27.72,,,,,,,,,,,30026.0,Williamsport,PA,"Williamsport, PA",,89.0
City of Wilson,1,0,,,,,,,,,,,,,,,,,,,
"City of Wilson, NC, dba: Wilson Transit System",23,0,,,,,,,,,,,,,,,,,,,
"City of Wilsonville, dba: South Metro Area Regional Transit",38,643128,73800.0,80.0,519.3,25167.0,24966.0,0.0,19195.0,0.0,0.0,0.0,213262.0,69328.0,213262.0,46.0,Wilsonville,OR,"Portland, OR--WA",,45.5
"City of Winchester, dba: WinTran",14,0,28136.0,9.0,42.22,,,,,,,,,,,,,,,,
City of Winslow,2,0,,,,,,,,,,,,,,,,,,,
"City of Winston Salem, dba: Winston-Salem Transit Authority",116,3019601,253531.0,134.0,310.79,398545.0,163453.0,0.0,0.0,0.0,0.0,0.0,0.0,561998.0,0.0,40012.0,Winston Salem,NC,"Winston-Salem, NC",,206.0
City of Winter Park,69,0,,,,,,,,,,,,,,,,,,,
City of Wisconsin Rapids,11,0,,,,,,,,,,,,,,,,,,,
City of Woodburn,8,0,,,,,,,,,,,,,,,,,,,
"City of Yakima, dba: Yakima Transit",132,1153763,100715.0,33.0,55.77,175564.0,29718.0,0.0,0.0,0.0,0.0,0.0,0.0,205282.0,0.0,6.0,Yakima,WA,"Yakima, WA",,75.0
Civic Volunteer Organization of Barefoot Bay,1,0,10000.0,10.0,250.55,,,,,,,,,,,,,,,,
Clackamas County Social Services,72,0,,,519.3,,,,,,,,,,,,,,,,
Claiborne County Human Resource Agency,24,0,,,,,,,,,,,,,,,,,,,
Claiborne Parish Police Jury OCS,6,0,,,,,,,,,,,,,,,,,,,
Clallam Transit System,141,0,,,,,,,,,,,,,,,,,,,
Clare County Transit,24,0,,,,,,,,,,,,,,,,,,,
Clarion County,11,0,,,,,,,,,,,,,,,,,,,
Clark County Public Transportation Benefit Area Authority,477,5877870,445744.0,143.0,519.3,944563.0,29543.0,0.0,0.0,0.0,0.0,0.0,0.0,974106.0,0.0,24.0,Vancouver,WA,"Portland, OR--WA",,435.17
Class LTD,9,0,,,,,,,,,,,,,,,,,,,
Clay County,12,0,,,,,,,,,,,,,,,,,,,
Clay County Task Force,3,0,,,,,,,,,,,,,,,,,,,
"Clear Creek County, dba: Roundabout Transit Solution",3,0,,,,,,,,,,,,,,,,,,,
Clinton Area Transit System,24,0,212492.0,84.0,,,,,,,,,,,,,,,,,
Clinton County,16,0,,,,,,,,,,,,,,,,,,,
Clinton Municipal Transit Administration,24,0,,,,,,,,,,,,,,,,,,,
Clintonville Transit Commission,2,0,,,,,,,,,,,,,,,,,,,
Coastal Community Action Program,6,0,,,,,,,,,,,,,,,,,,,
Coastal Regional Commission,60,0,,,,,,,,,,,,,,,,,,,
"Cobb County, dba: CobbLinc",219,3889258,688078.0,210.0,2553.04,758639.0,20718.0,0.0,15156.0,0.0,0.0,0.0,0.0,794513.0,0.0,,,,,,
"Cody Council on Aging, Inc.",6,0,,,,,,,,,,,,,,,,,,,
"Coeur d'Alene Tribe, dba: Citylink Transit",14,0,21188.0,388.0,46.76,,,,,,,,,,,,,,,,
Coffey County Transportation,8,0,,,,,,,,,,,,,,,,,,,
"Coles County, dba: Coles County Council on Aging",34,0,,,,,,,,,,,,,,,,,,,
"Collier County, dba: Collier Area Transit",106,2716950,384902.0,2025.0,242.96,295618.0,141497.0,0.0,0.0,0.0,0.0,0.0,0.0,437115.0,0.0,,,,,,
Colonial Williamsburg Foundation,6,0,6600.0,11.0,69.87,,,,,,,,,,,,,,,,
Colorado Valley Transit  District,28,0,,,,,,,,,,,,,,,,,,,
Columbia County,16,0,,,,,,,,,,,,,,,,,,,
Columbia County CommissionTransit,12,0,,,,,,,,,,,,,,,,,,,
Columbia County Public Transportation,18,0,,,,,,,,,,,,,,,,,,,
Columbia County-NY,8,0,,,,,,,,,,,,,,,,,,,
Columbiana County/Community Action Rural Transit System,60,0,,,,,,,,,,,,,,,,,,,
"Columbus Consolidated Government, dba: Columbus Metropolitan Transit System",42,0,230208.0,132.0,142.86,,,,,,,,,,,,,,,,
Columbus County,10,0,,,,,,,,,,,,,,,,,,,
Colusa County Transit Agency,6,0,,,,,,,,,,,,,,,,,,,
"Comanche Nation, dba: Comanche Nation Transit",12,0,,,0.0,,,,,,,,,,,,,,,,
Commmunity Memorial Health Center Burwell,2,0,,,,,,,,,,,,,,,,,,,
Community Action Development Corporation,105,0,,,,,,,,,,,,,,,,,,,
"Community Concern , dba: North Fork Area Transit",21,0,,,,,,,,,,,,,,,,,,,
Community Connection of Northeast Oregon,63,0,,,,,,,,,,,,,,,,,,,
"Community Coordinated Transportation System, dba: River Cities Public Transit",11,0,141400.0,51.0,67.9,,,,,,,,,,,,,,,,
Community Development Inc.,27,0,,,,,,,,,,,,,,,,,,,
Community Senior Service Center,3,0,,,,,,,,,,,,,,,,,,,
