Agency,NTD ID,Operating Federal,Operating State,Operating Local,Operating Other,Capital Federal,Capital State,Capital Local,Capital Other,Number of Operating Fleets,Ridership,Total OE,OpExp VO,OpExp VM,OpExp NVM,OpExp GA,FARES,DRM,VRM,VRH,UPT,PMT,Days of Service Operated,Days Not Operated Due to Emergencies,Non-Statutory Mixed Traffic,DRM Mixed Traffic ROW,City,State,Cluster
Gloversville City Hall,20981,445094.0,311541.0,18832.0,194117.0,184994.0,23124.0,23124.0,0.0,12.0,0.0,969584.0,0.0,0.0,0.0,0.0,39584.0,0.0,146884.0,8414.0,40872.0,0.0,0.0,0.0,0.0,0.0,Gloversville,NY,0
Wayne Area Transportation Service,20983,473700.0,43430.0,1468149.0,702809.0,773952.0,96744.0,96744.0,0.0,34.0,0.0,2688088.0,0.0,0.0,0.0,0.0,25684.0,0.0,603675.0,25553.0,77841.0,0.0,0.0,0.0,0.0,0.0,Lyons,NY,0
City of Port Jervis,20988,113343.0,63363.0,2799.0,14371.0,0.0,0.0,0.0,0.0,2.0,0.0,193876.0,0.0,0.0,0.0,0.0,14371.0,0.0,28064.0,2215.0,13274.0,0.0,0.0,0.0,0.0,0.0,Port Jervis,NY,0
St Lawrence County,20991,715529.0,1477915.0,97161.0,514653.0,0.0,0.0,0.0,0.0,24.0,0.0,2805258.0,0.0,0.0,0.0,0.0,113577.0,0.0,945273.0,42987.0,97740.0,0.0,0.0,0.0,0.0,0.0,Canton,NY,0
Franklin County Public Transportation,20992,0.0,1032253.0,78583.0,211761.0,112433.0,0.0,28108.0,0.0,45.0,0.0,1322597.0,0.0,0.0,0.0,0.0,211761.0,0.0,436688.0,13032.0,67620.0,0.0,0.0,0.0,0.0,0.0,Malone,NY,0
Otsego County,20998,175041.0,440093.0,178773.0,33810.0,0.0,0.0,0.0,0.0,8.0,0.0,827717.0,0.0,0.0,0.0,0.0,33810.0,0.0,195407.0,9357.0,32104.0,0.0,0.0,0.0,0.0,0.0,Cooperstown,NY,0
Columbia County-NY,20999,167625.0,233031.0,14741.0,49813.0,0.0,0.0,0.0,0.0,8.0,0.0,465210.0,0.0,0.0,0.0,0.0,49813.0,0.0,126295.0,5784.0,30533.0,0.0,0.0,0.0,0.0,0.0,Hudson,NY,0
Yates County,21000,50000.0,298871.0,284967.0,25872.0,221951.0,0.0,55488.0,0.0,8.0,0.0,659710.0,0.0,0.0,0.0,0.0,25872.0,0.0,161004.0,6459.0,25872.0,0.0,0.0,0.0,0.0,0.0,Penn Yan,NY,0
Seneca Nation of Indians,22929,525503.0,314361.0,72308.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,885844.0,0.0,0.0,0.0,0.0,0.0,0.0,229952.0,7364.0,16784.0,0.0,0.0,0.0,0.0,0.0,Salamanca,NY,0
New York City Economic Development Corporation,22930,30000000.0,0.0,15000000.0,14654439.0,0.0,0.0,40482116.0,0.0,56.0,1164315.0,64331578.0,32516079.0,9423931.0,3746983.0,18644585.0,13739917.0,87.72,1055019.0,106817.0,5454172.0,24194514.0,729.0,1.0,0.0,18.0,New York,NY,8
Kanawha Valley Regional Transportation Authority,30001,7426925.0,456915.0,3714999.0,1158987.0,143695.0,0.0,2980793.0,0.0,88.0,2549972.0,12724863.0,7470504.0,2575085.0,648011.0,2031263.0,1140460.0,511.0,2408728.0,138863.0,1016520.0,5139716.0,722.0,0.0,0.0,511.0,Charleston,WV,13
The Tri-State Transit Authority,30002,3545434.0,0.0,1387874.0,2397686.0,2175944.0,0.0,898332.0,511888.0,66.0,1281192.0,6625367.0,4098826.0,887068.0,428021.0,1211452.0,1161649.0,295.0,1183447.0,70293.0,672455.0,3874462.0,614.0,0.0,0.0,295.0,Hunnington,WV,21
"Mid-Ohio Valley Transit Authority, dba: Easy Rider",30003,1112856.0,0.0,1814198.0,191111.0,0.0,0.0,235175.0,0.0,26.0,0.0,3118165.0,0.0,0.0,0.0,0.0,119138.0,0.0,483896.0,37458.0,218337.0,0.0,0.0,0.0,0.0,0.0,Parkersburg,WV,0
Greater Richmond Transit Company,30006,10094377.0,18349811.0,30918251.0,2828098.0,5928959.0,10936093.0,757816.0,233358.0,1180.0,9263311.0,61957179.0,36824679.0,7048580.0,2362170.0,15721750.0,2171444.0,617.66,8407330.0,593562.0,8560526.0,43685924.0,1399.0,0.0,0.0,602.4,Richmond,VA,20
Greater Roanoke Transit Company,30007,4174454.0,3265789.0,2549452.0,1503894.0,2511925.0,4109439.0,103762.0,0.0,82.0,2407592.0,11388589.0,7094098.0,1744892.0,373341.0,2176258.0,1254017.0,307.9,2219321.0,148209.0,1134478.0,6699644.0,666.0,0.0,0.0,307.9,Roanoke,VA,13
Greater Lynchburg Transit Company,30008,2900894.0,2831655.0,1315171.0,648392.0,1092415.0,955276.0,85449.0,0.0,36.0,1099361.0,7864251.0,4367794.0,1469871.0,374087.0,1652499.0,470138.0,215.4,1068761.0,74311.0,446625.0,2296526.0,712.0,4.0,0.0,215.4,Lynchburg,VA,6
"City of Petersburg , dba: Petersburg Area Transit",30009,1814368.0,1252745.0,1048489.0,16252.0,218628.0,529854.0,49765.0,0.0,34.0,0.0,4131854.0,0.0,0.0,0.0,0.0,0.0,0.0,554292.0,47286.0,404086.0,0.0,0.0,0.0,0.0,0.0,Petersburg,VA,0
Lehigh and Northampton Transportation Authority,30010,16140824.0,18489576.0,1236750.0,5174634.0,4111829.0,2447150.0,13481.0,0.0,354.0,5790622.0,40984884.0,26979413.0,6455845.0,755204.0,6794422.0,4462537.0,410.2,4634080.0,329205.0,2949396.0,15798122.0,726.0,0.0,0.0,410.2,Allentown,PA,13
"Altoona Metro Transit, dba: AMTRAN",30011,2885418.0,2079200.0,191444.0,697796.0,1934602.0,2445441.0,133927.0,0.0,99.0,572910.0,5707977.0,3315630.0,1059280.0,93434.0,1239633.0,637846.0,340.9,564503.0,47523.0,435735.0,2030411.0,618.0,0.0,0.0,340.9,Altoona,PA,13
Cambria County Transit Authority,30012,5154336.0,3865106.0,981464.0,1309260.0,7791014.0,5078116.0,182351.0,0.0,138.0,1412098.0,11187607.0,6070971.0,1862328.0,819983.0,2434325.0,1152490.0,234.68,1306585.0,94322.0,711687.0,2558602.0,689.0,0.0,0.0,234.0,Johnstown,PA,21
Erie Metropolitan Transit Authority,30013,6102108.0,8656439.0,1211582.0,4654033.0,4902992.0,1323028.0,648525.0,0.0,156.0,2552019.0,20376520.0,12544101.0,3973736.0,510146.0,3348537.0,4023418.0,360.0,2361641.0,168407.0,1132538.0,4331004.0,616.0,0.0,0.0,360.0,Erie,PA,13
"Cumberland Dauphin-Harrisburg Transit Authority, dba: Capital Area Transit",30014,8778924.0,7487656.0,1150523.0,2900245.0,433547.0,1211570.0,15596.0,4080.0,460.0,3199843.0,20278765.0,12169231.0,3330532.0,421678.0,4357324.0,2398430.0,612.5,2816993.0,183103.0,1150133.0,6915615.0,1172.0,0.0,0.0,612.5,Harrisburg,PA,7
Luzerne County Transportation Authority,30015,10215209.0,2297340.0,717393.0,1345612.0,10152720.0,6350015.0,120272.0,0.0,124.0,2059042.0,14194908.0,8969162.0,2715883.0,150373.0,2359490.0,1188779.0,326.7,1864638.0,124835.0,777109.0,3060242.0,612.0,0.0,0.0,326.7,Kingston,PA,13
Southeastern Pennsylvania Transportation Authority,30019,332971162.0,697877046.0,103691110.0,263763898.0,137877009.0,233755238.0,9618402.0,0.0,13734.0,84803334.0,1352351898.0,671471573.0,260748872.0,201836318.0,218295135.0,229582836.0,3155.53,78158879.0,6519502.0,174229654.0,733078479.0,2549.0,0.0,0.0,2517.8,Philadelphia,PA,2
Port Authority of Allegheny County,30022,93594456.0,268562567.0,38129596.0,59426452.0,20400525.0,59522770.0,3183723.0,8100.0,3292.0,33102167.0,453583386.0,225727934.0,114085410.0,47586357.0,66183685.0,55628958.0,1451.29,26483449.0,2050337.0,32328532.0,122507841.0,1460.0,0.0,0.0,1345.0,Pittsburgh,PA,2
Beaver County Transit Authority,30023,4631339.0,1039447.0,650597.0,1242924.0,170829.0,797255.0,35400.0,0.0,60.0,1171652.0,7478207.0,4091677.0,1298721.0,408205.0,1679604.0,1235824.0,160.1,998915.0,64006.0,385997.0,4536585.0,614.0,2.0,0.0,150.0,Rochester,PA,8
County of Lackawanna Transit System,30025,1070729.0,11487232.0,835185.0,1095739.0,268774.0,1294168.0,75468.0,0.0,288.0,1957332.0,14024739.0,8764074.0,1288709.0,538250.0,3433706.0,938389.0,412.4,1723333.0,137220.0,664761.0,3252782.0,1179.0,0.0,0.0,412.4,Scranton,PA,22
"City of Williamsport, dba: River Valley Transit",30026,3192022.0,4179695.0,447514.0,1181282.0,100611.0,3952115.0,26237.0,0.0,62.0,992809.0,8413510.0,4567186.0,1645494.0,648508.0,1552322.0,605210.0,474.1,952695.0,54872.0,693810.0,3823729.0,580.0,0.0,0.0,474.1,Williamsport,PA,13
Central Pennsylvania Transportation Authority,30027,8158709.0,7377179.0,709920.0,16528778.0,2525046.0,4137272.0,96306.0,0.0,2464.0,8439961.0,29910411.0,22144590.0,3510932.0,155710.0,4099179.0,15280450.0,551.0,6956204.0,384350.0,1473978.0,9857891.0,1806.0,0.0,0.0,551.0,York,PA,20
Washington Metropolitan Area Transit Authority,30030,691514410.0,516729635.0,808218148.0,281500573.0,386045414.0,546410323.0,957540393.0,22309633.0,11228.0,122883834.0,2220137931.0,1021407020.0,331172589.0,284301620.0,583256702.0,213532548.0,2054.68,108709712.0,7568165.0,156897531.0,670037962.0,1273.0,0.0,0.0,1786.3,Washington,DC,2
Maryland Transit Administration,30034,60203064.0,751330042.0,0.0,59968215.0,668860593.0,338959021.0,0.0,0.0,11888.0,57861263.0,866270026.0,402690183.0,170439756.0,101343784.0,191796303.0,55077156.0,2951.69,54418278.0,3346055.0,50205947.0,297048278.0,2815.0,1.0,0.0,2427.5,Baltimore,MD,2
Ohio Valley Regional Transportation Authority,30035,2290226.0,111962.0,1354363.0,530172.0,0.0,0.0,20036.0,0.0,34.0,794307.0,4286723.0,2456296.0,691027.0,122806.0,1016594.0,302667.0,143.0,776647.0,56569.0,277912.0,979282.0,608.0,2.0,0.0,143.0,Wheeling,WV,8
"City of Charlottesville, dba: Charlottesville Area Transit",30036,3082232.0,3075767.0,3543719.0,134311.0,384966.0,209955.0,109009.0,0.0,19.0,0.0,9836029.0,0.0,0.0,0.0,0.0,80040.0,0.0,712242.0,74479.0,1156514.0,0.0,0.0,0.0,0.0,0.0,Charlottesville,VA,0
"City of Annapolis, dba: Annapolis Department of Transportation",30040,1095344.0,1433119.0,1609694.0,546812.0,612074.0,76510.0,76510.0,0.0,22.0,0.0,4684969.0,0.0,0.0,0.0,0.0,460699.0,0.0,408657.0,44041.0,205613.0,0.0,0.0,0.0,0.0,0.0,Annapolis,MD,0
"Board of Commissioners of Allegany County Maryland, dba: Allegany County Transit",30041,1843348.0,176816.0,131665.0,235321.0,1029156.0,106163.0,151127.0,0.0,30.0,0.0,2387150.0,0.0,0.0,0.0,0.0,235321.0,0.0,353847.0,25962.0,98541.0,0.0,0.0,0.0,0.0,0.0,Cumberland,MD,0
"Washington County , dba: Washington County Transit",30042,1338614.0,311990.0,681684.0,207370.0,1710358.0,139714.0,213041.0,0.0,24.0,0.0,2539658.0,0.0,0.0,0.0,0.0,207370.0,0.0,485108.0,32706.0,300365.0,0.0,0.0,0.0,0.0,0.0,Hagerstown,MD,0
"Westmoreland County , dba: Westmoreland County Transit Authority",30044,2946909.0,7556005.0,421824.0,649257.0,295596.0,620401.0,5388.0,0.0,146.0,2760716.0,11420097.0,7361913.0,1161615.0,382181.0,2514388.0,537503.0,670.9,2148530.0,104265.0,290384.0,3484595.0,616.0,0.0,0.0,657.3,Greensburg,PA,13
"JAUNT, Inc.",30045,4330570.0,2187605.0,1999149.0,327098.0,138333.0,0.0,0.0,0.0,128.0,1463398.0,8979756.0,6021301.0,363066.0,333222.0,2262167.0,301635.0,241.0,1297568.0,80841.0,188297.0,2033107.0,723.0,0.0,0.0,241.0,Charlottesville,VA,21
"Montgomery County, Maryland, dba: Ride On, Montgomery County Transit",30051,66845444.0,33598418.0,44565189.0,841643.0,75210.0,0.0,366167.0,0.0,576.0,14017563.0,142614721.0,89199677.0,19942095.0,7179009.0,26293940.0,46137.0,1667.0,11965887.0,937909.0,14102952.0,61438229.0,567.0,0.0,0.0,1667.0,Rockville,MD,15
"City of Bristol Virginia, dba: Bristol Virginia Transit",30053,177184.0,142938.0,34250.0,24606.0,23615.0,3630.0,2274.0,0.0,12.0,0.0,378978.0,0.0,0.0,0.0,0.0,22163.0,0.0,84107.0,7302.0,35313.0,0.0,0.0,0.0,0.0,0.0,Bristol,VA,0
Centre Area Transportation Authority,30054,8330701.0,3010672.0,702564.0,5375838.0,1974252.0,617516.0,20992.0,0.0,264.0,2602386.0,17341977.0,9582984.0,2650475.0,603118.0,4505400.0,5044184.0,140.0,2342490.0,132159.0,3477793.0,12167535.0,964.0,0.0,0.0,140.0,State College,PA,21
"City of Sharon, dba: Shenango Valley Shuttle Service",30055,1171832.0,1491095.0,75098.0,667390.0,1130686.0,337178.0,3540.0,0.0,48.0,0.0,3405415.0,0.0,0.0,0.0,0.0,667390.0,0.0,636999.0,39548.0,113424.0,0.0,0.0,0.0,0.0,0.0,Sharon,PA,0
Pennsylvania Department of Transportation,30057,0.0,10339593.0,0.0,14580664.0,14864547.0,16943716.0,0.0,0.0,20.0,1606581.0,24920257.0,7110897.0,8337475.0,1432455.0,8039430.0,14580664.0,144.4,1606581.0,28322.0,365858.0,26951728.0,365.0,0.0,0.0,0.0,Harrisburg,PA,21
"City of Fairfax, dba: CUE Bus",30058,23750.0,769434.0,3472282.0,750000.0,0.0,0.0,3090540.0,0.0,8.0,446036.0,4991716.0,3029672.0,666293.0,127657.0,1168094.0,750000.0,20.2,431985.0,34921.0,536110.0,1817412.0,360.0,0.0,0.0,20.2,Fairfax,VA,10
Mid Mon Valley Transit Authority,30061,1441878.0,2868406.0,87359.0,747673.0,1293738.0,434659.0,30424.0,0.0,22.0,885290.0,5118772.0,2814951.0,702359.0,305336.0,1296126.0,356349.0,207.06,736721.0,44530.0,187300.0,2863817.0,357.0,0.0,0.0,199.3,Charleroi,PA,21
Weirton Transit Corporation,30066,547327.0,0.0,21321.0,62905.0,13527.0,0.0,3530.0,0.0,10.0,0.0,631553.0,0.0,0.0,0.0,0.0,45280.0,0.0,134057.0,11723.0,31527.0,0.0,0.0,0.0,0.0,0.0,Weirton,WV,0
"Fairfax County, VA, dba: Fairfax Connector Bus System",30068,0.0,322523.0,99246618.0,6671125.0,0.0,0.0,23187647.0,0.0,284.0,13185923.0,106240266.0,63370374.0,28534205.0,4048135.0,10287552.0,6320755.0,1316.24,10863043.0,840571.0,7214551.0,37886706.0,365.0,0.0,0.0,1255.2,Fairfax,VA,5
City of Danville Mass Transit System,30069,1039211.0,1417543.0,311327.0,313108.0,233266.0,46655.0,11888.0,0.0,34.0,0.0,3081189.0,0.0,0.0,0.0,0.0,295473.0,0.0,531730.0,35283.0,240926.0,0.0,0.0,0.0,0.0,0.0,Danville,VA,0
Potomac and Rappahannock Transportation Commission,30070,6319174.0,14183537.0,17078836.0,8619601.0,0.0,179304.0,202044.0,0.0,1520.0,10696639.0,44213010.0,25057741.0,7089465.0,2863003.0,9202801.0,8158656.0,509.36,8658638.0,284260.0,1746624.0,46150096.0,1059.0,11.0,0.0,326.4,Woodbridge,VA,17
City of Alexandria,30071,0.0,7211910.0,23960841.0,1045273.0,9510309.0,0.0,8878329.0,0.0,188.0,2878581.0,32196468.0,22505916.0,4130113.0,387921.0,5172518.0,573343.0,114.7,2568378.0,275208.0,3046813.0,5893109.0,732.0,0.0,0.0,108.7,Alexandria,VA,1
"Frederick County, Maryland, dba: TransIT Services of Frederick County",30072,3897879.0,1160941.0,2737758.0,33359.0,1576475.0,197059.0,264055.0,131292.0,72.0,1156253.0,7735193.0,5599375.0,765416.0,2204.0,1368198.0,13885.0,291.3,1067011.0,76998.0,506394.0,2737291.0,559.0,0.0,0.0,291.3,Frederick,MD,21
Virginia Railway Express,30073,55302417.0,16296077.0,0.0,13644345.0,17603912.0,26480305.0,62268.0,0.0,99.0,2333413.0,82334431.0,38207234.0,15151636.0,3803455.0,25172106.0,10517221.0,177.22,2245812.0,70805.0,822440.0,25719698.0,248.0,2.0,0.0,0.0,Alexandria,VA,10
"Harford County Maryland, dba: Harford Transit LINK",30074,5216869.0,0.0,350758.0,231218.0,147532.0,2000.0,2000.0,0.0,50.0,0.0,5798845.0,0.0,0.0,0.0,0.0,231218.0,0.0,1287591.0,60890.0,238143.0,0.0,0.0,0.0,0.0,0.0,Bel Air,MD,0
Delaware Transit Corporation,30075,56868594.0,60199214.0,0.0,12205358.0,20594841.0,13929184.0,0.0,2.0,2640.0,17867018.0,124642149.0,73834041.0,23938063.0,5477400.0,21392645.0,11239392.0,2459.8,15652596.0,915668.0,6125105.0,40144294.0,1365.0,0.0,0.0,2459.8,Dover,DE,15
Williamsburg Area Transit Authority,30076,2896100.0,2492502.0,32053.0,315695.0,1417541.0,36960.0,317425.0,0.0,30.0,1019051.0,5736350.0,3760479.0,637190.0,205422.0,1133259.0,679722.0,181.0,962150.0,61727.0,687407.0,3378508.0,724.0,0.0,0.0,181.0,Williamsburg,VA,21
"Borough of Pottstown, dba: Pottstown Area Rapid Transit",30077,671854.0,1463236.0,103945.0,162884.0,1052827.0,0.0,0.0,0.0,12.0,304408.0,2292509.0,1089734.0,316182.0,141441.0,745152.0,162884.0,249.0,296879.0,23308.0,136100.0,232804.0,626.0,0.0,0.0,249.0,Pottstown,PA,21
Southwestern Pennsylvania Commission,30078,485203.0,0.0,0.0,121793.0,0.0,0.0,0.0,0.0,11.0,143665.0,553796.0,26145.0,2198.0,785.0,524668.0,121793.0,0.0,143665.0,3241.0,13020.0,507349.0,258.0,0.0,0.0,0.0,Pittsburgh,PA,10
"City of Fredericksburg, dba: Fredericksburg Regional Transit",30079,2549699.0,1350329.0,1225392.0,171472.0,218979.0,104260.0,0.0,7920.0,20.0,0.0,5296892.0,0.0,0.0,0.0,0.0,169831.0,0.0,598250.0,40706.0,179874.0,0.0,0.0,0.0,0.0,0.0,Fredericksburg,VA,0
"Arlington County, Virginia, dba: Arlington Transit",30080,0.0,25067767.0,0.0,0.0,3005913.0,10022825.0,6376601.0,0.0,213.0,2225666.0,24666684.0,12051511.0,4941798.0,660932.0,7012443.0,2458450.0,188.8,2083544.0,204460.0,1815433.0,3995041.0,730.0,0.0,0.0,188.8,Arlington,VA,21
"Loudoun County, dba: Loudoun County Transit",30081,0.0,7656668.0,6846435.0,1433950.0,0.0,0.0,0.0,0.0,153.0,2540509.0,15073314.0,8363314.0,2700947.0,232919.0,3776134.0,1403536.0,411.4,1833527.0,91251.0,434295.0,6113137.0,914.0,0.0,0.0,392.4,Leesburg,VA,22
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",30083,9679142.0,33880929.0,47239368.0,9865675.0,3797764.0,3439230.0,182333.0,0.0,2436.0,13253542.0,100242325.0,54679549.0,20780055.0,1360102.0,23422619.0,8564275.0,1229.67,13310566.0,896117.0,6432090.0,35141258.0,2452.0,3.0,0.0,1132.0,Hampton,VA,14
"Prince George's County, Maryland, dba: Prince George's County Transit",30085,6558088.0,9397953.0,21911954.0,219608.0,0.0,2216984.0,6849735.0,0.0,186.0,3590790.0,37550524.0,29128553.0,5791930.0,182324.0,2447717.0,219608.0,572.0,3055456.0,267217.0,1170420.0,8326573.0,568.0,0.0,0.0,572.0,Upper Marlboro,MD,13
"County of Fayette, dba: Fayette Area Coordinated Transportation",30087,1218212.0,0.0,0.0,2885492.0,0.0,0.0,0.0,0.0,52.0,1314398.0,4103704.0,3302088.0,363257.0,12689.0,425670.0,863987.0,342.35,1154484.0,58913.0,166164.0,1803237.0,716.0,0.0,0.0,342.0,Uniontown,PA,13
"County Commissioners of Charles County, MD",30088,3992303.0,414420.0,3336363.0,116388.0,263679.0,17673.0,201119.0,0.0,60.0,1869870.0,7536807.0,4736212.0,751451.0,62832.0,1986312.0,116388.0,348.5,1763761.0,99922.0,445862.0,3232218.0,614.0,4.0,0.0,348.5,La Plata,MD,6
"Monongalia County Urban Mass Transit Authority, dba: Mountain Line Transit Authority",30089,3848344.0,197953.0,1599134.0,247735.0,11702.0,0.0,1921361.0,0.0,60.0,0.0,5893166.0,0.0,0.0,0.0,0.0,247735.0,0.0,1517643.0,79668.0,489019.0,0.0,0.0,0.0,0.0,0.0,Morgantown,WV,0
Eastern Panhandle Transit Authority,30090,1471778.0,0.0,579085.0,248397.0,0.0,0.0,0.0,0.0,48.0,0.0,2299260.0,0.0,0.0,0.0,0.0,224104.0,0.0,619999.0,33433.0,103318.0,0.0,0.0,0.0,0.0,0.0,Martinsburg,WV,0
"Town of Blacksburg, dba: Blacksburg Transit",30091,2029542.0,3203100.0,382800.0,4357823.0,5636220.0,1695612.0,0.0,810772.0,82.0,1149382.0,9966111.0,5006663.0,1710698.0,110986.0,3137764.0,0.0,76.6,1050017.0,100137.0,3267836.0,5628020.0,716.0,2.0,0.0,76.6,Blacksburg,VA,8
"The County Commissioners of Carroll County, Maryland, dba: Carroll Transit System",30092,1888073.0,40687.0,98809.0,247892.0,118174.0,0.0,29543.0,0.0,54.0,0.0,2275461.0,0.0,0.0,0.0,0.0,228386.0,0.0,609250.0,45490.0,71619.0,0.0,0.0,0.0,0.0,0.0,Westminster,MD,0
"City of Hazleton, dba: Hazleton Public Transit",30093,326551.0,2279956.0,189038.0,171638.0,7795054.0,1601779.0,229055.0,0.0,22.0,0.0,2879238.0,0.0,0.0,0.0,0.0,103068.0,0.0,373848.0,29091.0,128315.0,0.0,0.0,0.0,0.0,0.0,Hazleton,PA,0
"City of Harrisonburg, dba: Harrisonburg Department of Public Transportation",30094,2485637.0,1725213.0,4943.0,2151751.0,1194949.0,268094.0,307211.0,0.0,80.0,787587.0,5929407.0,3845377.0,1111210.0,96884.0,875936.0,2051960.0,131.9,753636.0,74536.0,1360073.0,2742369.0,678.0,0.0,0.0,131.9,Harrisonburg,VA,21
County of Lebanon Transit Authority,30095,2551034.0,809838.0,130098.0,1195008.0,0.0,720923.0,15684.0,0.0,48.0,765802.0,4676704.0,2700952.0,701424.0,88117.0,1186211.0,1013777.0,262.9,722538.0,43946.0,226301.0,1338183.0,616.0,0.0,0.0,262.9,Lebanon,PA,21
The Tri-County Council for the Lower Eastern Shore of Maryland,30096,2960283.0,649501.0,1179433.0,431785.0,717373.0,0.0,179343.0,0.0,64.0,1800333.0,5022748.0,3199385.0,657479.0,27892.0,1137992.0,365857.0,627.0,1641291.0,75844.0,188199.0,6076857.0,722.0,0.0,0.0,627.0,Salisbury,MD,13
"City of Winchester, dba: WinTran",30099,931874.0,395822.0,627.0,32280.0,0.0,0.0,0.0,0.0,14.0,0.0,1360603.0,0.0,0.0,0.0,0.0,0.0,0.0,185237.0,17310.0,134223.0,0.0,0.0,0.0,0.0,0.0,Winchester,VA,0
National Capital Region Transportation Planning Board,30106,5541.0,20846.0,0.0,85638.0,0.0,0.0,0.0,0.0,8.0,0.0,29118.0,0.0,0.0,0.0,0.0,85638.0,0.0,90340.0,2476.0,7574.0,0.0,0.0,0.0,0.0,0.0,Washington,DC,0
West Virginia University - Morgantown Personal Rapid Transit,30107,1311436.0,1106817.0,0.0,6668415.0,702772.0,175693.0,0.0,0.0,48.0,522735.0,6679611.0,723610.0,1189785.0,3270810.0,1495406.0,83585.0,6.3,478552.0,94578.0,1398893.0,2537361.0,201.0,0.0,0.0,0.0,Morgantown,WV,10
"Cecil County Government , dba: Cecil Transit",30108,866422.0,391349.0,803457.0,77575.0,653325.0,64203.0,118160.0,0.0,36.0,0.0,2138803.0,0.0,0.0,0.0,0.0,77575.0,0.0,423413.0,21337.0,54240.0,0.0,0.0,0.0,0.0,0.0,Elkton,MD,0
"St. Mary's County Government , dba: St. Mary's Transit System",30109,1476069.0,40000.0,155344.0,236438.0,85643.0,0.0,36290.0,0.0,42.0,0.0,1907851.0,0.0,0.0,0.0,0.0,236438.0,0.0,975638.0,65373.0,201543.0,0.0,0.0,0.0,0.0,0.0,California,MD,0
"Washington County Transportation Authority, dba: Freedom Transit",30111,2014316.0,3136862.0,254248.0,1159439.0,185071.0,778784.0,3313.0,0.0,96.0,1857014.0,6405925.0,3239315.0,720438.0,253583.0,2192589.0,1119576.0,169.4,1621582.0,87089.0,215620.0,2256827.0,621.0,0.0,0.0,169.4,Washington,PA,21
DDOT - Progressive Transportation Services Administration,30112,1190109.0,42417227.0,0.0,0.0,1500000.0,5380017.0,0.0,0.0,122.0,1534494.0,42740930.0,27170566.0,7649739.0,763526.0,7157099.0,677711.0,46.82,1373755.0,240957.0,2117070.0,2624290.0,727.0,0.0,0.0,43.0,Washington,DC,21
"Accomack-Northhampton Transportation District Comm, dba: STAR Transit",30114,848169.0,431281.0,0.0,0.0,127162.0,197660.0,0.0,0.0,16.0,0.0,1279450.0,0.0,0.0,0.0,0.0,0.0,0.0,492573.0,20424.0,70660.0,0.0,0.0,0.0,0.0,0.0,Tasley,VA,0
Pulaski Area Transit,30115,350742.0,229517.0,128639.0,24074.0,0.0,0.0,0.0,0.0,20.0,0.0,732972.0,0.0,0.0,0.0,0.0,24074.0,0.0,221984.0,18829.0,27366.0,0.0,0.0,0.0,0.0,0.0,Pulaski,VA,0
"Borough of Mt. Carmel, dba: Lower Anthracite Transportation System",30116,0.0,284232.0,15552.0,18775.0,0.0,0.0,0.0,0.0,3.0,0.0,318559.0,0.0,0.0,0.0,0.0,18775.0,0.0,50774.0,4775.0,20035.0,0.0,0.0,0.0,0.0,0.0,Mount Carmel,PA,0
"Garrett County Community Action Committee, Inc",30117,1282067.0,155841.0,625445.0,120291.0,0.0,0.0,0.0,0.0,13.0,0.0,2183644.0,0.0,0.0,0.0,0.0,120291.0,0.0,345279.0,19225.0,74204.0,0.0,0.0,0.0,0.0,0.0,Oakland,MD,0
Virginia Regional Transit,30118,2989233.0,584179.0,0.0,0.0,65726.0,4145.0,0.0,0.0,44.0,0.0,3573412.0,0.0,0.0,0.0,0.0,0.0,0.0,842568.0,55044.0,161937.0,0.0,0.0,0.0,0.0,0.0,Purcellville,VA,0
Central West Virginia Transit Authority,30119,573151.0,573151.0,1643005.0,68329.0,0.0,0.0,0.0,0.0,40.0,0.0,2857636.0,0.0,0.0,0.0,0.0,63606.0,0.0,527135.0,43257.0,144399.0,0.0,0.0,0.0,0.0,0.0,0,WV,0
Bluefield Area Transit,30121,1701108.0,36667.0,91838.0,179695.0,0.0,0.0,0.0,0.0,50.0,0.0,2009308.0,0.0,0.0,0.0,0.0,155075.0,0.0,617331.0,35858.0,163191.0,0.0,0.0,0.0,0.0,0.0,Bluefield,WV,0
"Randolph County Senior Center , dba: Country Roads Transit",30122,591385.0,6250.0,16636.0,32097.0,0.0,0.0,0.0,0.0,24.0,0.0,646368.0,0.0,0.0,0.0,0.0,32097.0,0.0,149640.0,15856.0,20374.0,0.0,0.0,0.0,0.0,0.0,Elkins,WV,0
"District Three Governmental Cooperative, dba: Mountain Lynx Transit",30123,1713553.0,749968.0,0.0,159019.0,416414.0,7783.0,1945.0,0.0,54.0,0.0,2622540.0,0.0,0.0,0.0,0.0,159019.0,0.0,458335.0,45866.0,143169.0,0.0,0.0,0.0,0.0,0.0,Marion,VA,0
"Warren County Transit Authority, dba: Transit Authority of Warren County",30124,600000.0,369105.0,57457.0,486064.0,77999.0,82221.0,0.0,0.0,24.0,0.0,1512626.0,0.0,0.0,0.0,0.0,464061.0,0.0,312970.0,15680.0,70661.0,0.0,0.0,0.0,0.0,0.0,Warren,PA,0
